Time [s];Ratio 670nm / 650nm;Capillary Position
5.3503;0.7160836;1
5.400301;0.7231587;1
5.4503;0.722365;1
5.5003;0.719202;1
5.5503;0.7276273;1
5.6004;0.7232515;1
5.6504;0.7222407;1
5.7004;0.7216485;1
5.7504;0.7227028;1
5.8004;0.7268588;1
5.8504;0.7211459;1
5.9004;0.7311544;1
5.9504;0.7273418;1
6.0004;0.723645;1
6.0504;0.7241664;1
6.1004;0.7278319;1
6.1504;0.7254056;1
6.2004;0.7247849;1
6.2504;0.7247201;1
6.3004;0.7236007;1
6.3504;0.7191011;1
6.4004;0.7191254;1
6.4504;0.721597;1
6.5004;0.7161497;1
6.5504;0.7146487;1
6.6004;0.7278449;1
6.6504;0.7219563;1
6.7004;0.7234793;1
6.7504;0.7253455;1
6.8004;0.72386;1
6.8504;0.7241786;1
6.9004;0.7211115;1
6.9504;0.7252378;1
7.0004;0.7201618;1
7.0504;0.7200115;1
7.1004;0.7218596;1
7.1504;0.7197275;1
7.2004;0.7227269;1
7.2504;0.7205476;1
7.3004;0.7216239;1
7.3504;0.7267964;1
7.4005;0.7206608;1
7.4505;0.7241188;1
7.5005;0.7222015;1
7.5505;0.7237683;1
7.6005;0.7224086;1
7.6505;0.7200032;1
7.7005;0.7248738;1
7.7505;0.7195672;1
7.8005;0.7221738;1
7.8505;0.7211768;1
7.9005;0.7190878;1
7.9505;0.7241495;1
8.0005;0.7216098;1
8.050501;0.7267705;1
8.1005;0.7271037;1
8.150499;0.7223561;1
8.2005;0.7241436;1
8.2505;0.7246835;1
8.300501;0.7263613;1
8.3505;0.7217611;1
8.400499;0.7246594;1
8.4505;0.7260929;1
8.5005;0.723186;1
8.550501;0.7219412;1
8.6005;0.7189806;1
8.650499;0.7221174;1
8.7005;0.7264217;1
8.7505;0.722867;1
8.800501;0.7199746;1
8.8505;0.7213198;1
8.900499;0.7208783;1
8.9505;0.7203156;1
9.0005;0.7212076;1
9.050501;0.7233069;1
9.1005;0.7215552;1
9.150499;0.7268382;1
9.2006;0.723465;1
9.250601;0.72158;1
9.3006;0.7192585;1
9.350599;0.7235693;1
9.4006;0.7259589;1
9.4506;0.7288241;1
9.500601;0.7268405;1
9.5506;0.7222945;1
9.600599;0.723608;1
9.6506;0.7290912;1
9.7006;0.7256772;1
9.750601;0.7235049;1
9.8006;0.7307035;1
9.850599;0.7210215;1
9.9006;0.7243205;1
9.9506;0.7240604;1
10.0006;0.7244349;1
10.0006;0.7244349;1
-4.9503;1.037911;9
-4.9003;1.043067;9
-4.8503;1.04196;9
-4.8003;1.040088;9
-4.7503;1.040014;9
-4.7003;1.039026;9
-4.6503;1.040345;9
-4.6003;1.037119;9
-4.5503;1.042668;9
-4.5003;1.042186;9
-4.4503;1.043207;9
-4.4003;1.040739;9
-4.3503;1.040117;9
-4.3003;1.037655;9
-4.2503;1.040692;9
-4.2003;1.042781;9
-4.1503;1.038419;9
-4.1003;1.041011;9
-4.0503;1.04241;9
-4.0003;1.039724;9
-3.9503;1.037431;9
-3.9003;1.038325;9
-3.8502;1.037287;9
-3.8002;1.041098;9
-3.7502;1.037218;9
-3.7002;1.039996;9
-3.6502;1.042834;9
-3.6002;1.038925;9
-3.5502;1.035789;9
-3.5002;1.037218;9
-3.4502;1.036944;9
-3.4002;1.039198;9
-3.3502;1.040261;9
-3.3002;1.039562;9
-3.2502;1.043808;9
-3.2002;1.03843;9
-3.1502;1.043476;9
-3.1002;1.036663;9
-3.0502;1.040929;9
-3.0002;1.038385;9
-2.9502;1.035765;9
-2.9002;1.043592;9
-2.8502;1.042974;9
-2.8002;1.038644;9
-2.7502;1.044227;9
-2.7002;1.040308;9
-2.6502;1.038661;9
-2.6002;1.04193;9
-2.5502;1.04161;9
-2.5002;1.038697;9
-2.4502;1.041026;9
-2.4002;1.037789;9
-2.3502;1.040208;9
-2.3002;1.038685;9
-2.2502;1.043432;9
-2.2002;1.03925;9
-2.1502;1.041587;9
-2.1002;1.040776;9
-2.0501;1.038802;9
-2.0001;1.041301;9
-1.9501;1.03975;9
-1.9001;1.03935;9
-1.8501;1.041548;9
-1.8001;1.043727;9
-1.7501;1.041741;9
-1.7001;1.042589;9
-1.6501;1.04094;9
-1.6001;1.040769;9
-1.5501;1.040239;9
-1.5001;1.038019;9
-1.4501;1.036971;9
-1.4001;1.041443;9
-1.3501;1.040329;9
-1.3001;1.040554;9
-1.2501;1.039028;9
-1.2001;1.039908;9
-1.1501;1.044306;9
-1.1001;1.043651;9
-1.0501;1.038157;9
-1.0001;1.040929;9
-0.9500999;1.042676;9
-0.9000998;1.041934;9
-0.8501;1.041627;9
-0.8000998;1.037524;9
-0.7501001;1.034952;9
-0.7000999;1.043466;9
-0.6500998;1.039844;9
-0.6001;1.03993;9
-0.5500998;1.039963;9
-0.5001001;1.040221;9
-0.4500999;1.0406;9
-0.4000998;1.039915;9
-0.3501;1.034429;9
-0.3000998;1.03827;9
-0.25;1.038779;9
-0.1999998;1.042334;9
-0.1500001;1.038406;9
-0.0999999;1.042183;9
-0.04999971;1.044026;9
0;1.038336;9
0.05000019;1.046891;9
0.0999999;1.04323;9
0.1500001;1.045264;9
0.2000003;1.046318;9
0.25;1.050046;9
0.3000002;1.047644;9
0.3499999;1.050046;9
0.4000001;1.047686;9
0.4500003;1.048303;9
0.5;1.052496;9
0.5500002;1.052622;9
0.5999999;1.049236;9
0.6500001;1.052026;9
0.7000003;1.051233;9
0.75;1.056319;9
0.8000002;1.052935;9
0.8499999;1.056795;9
0.9000001;1.052602;9
0.9500003;1.058797;9
1;1.055618;9
1.05;1.052437;9
1.1;1.053659;9
1.15;1.055871;9
1.2;1.058515;9
1.25;1.056575;9
1.3;1.05771;9
1.35;1.053802;9
1.4;1.056552;9
1.45;1.057083;9
1.5001;1.056149;9
1.5501;1.058806;9
1.6001;1.061851;9
1.6501;1.0587;9
1.7001;1.058479;9
1.7501;1.056534;9
1.8001;1.062181;9
1.8501;1.058096;9
1.9001;1.060474;9
1.9501;1.057783;9
2.0001;1.060821;9
2.0501;1.058885;9
2.1001;1.058437;9
2.1501;1.062078;9
2.2001;1.062181;9
2.2501;1.059005;9
2.3001;1.06319;9
2.3501;1.064021;9
2.4001;1.06406;9
2.4501;1.062848;9
2.5001;1.062541;9
2.5501;1.062788;9
2.6001;1.064202;9
2.6501;1.06415;9
2.7001;1.063085;9
2.7501;1.066221;9
2.8001;1.062364;9
2.8501;1.063612;9
2.9001;1.068332;9
2.9501;1.064014;9
3.0001;1.064533;9
3.0501;1.066503;9
3.1001;1.067042;9
3.1501;1.065345;9
3.2001;1.065918;9
3.2501;1.06823;9
3.3002;1.070048;9
3.3502;1.069786;9
3.4002;1.065695;9
3.450201;1.063818;9
3.5002;1.064278;9
3.5502;1.065804;9
3.6002;1.068266;9
3.6502;1.066975;9
3.700201;1.064796;9
3.7502;1.064768;9
3.8002;1.06678;9
3.8502;1.071376;9
3.9002;1.067441;9
3.950201;1.070238;9
4.0002;1.068625;9
4.0502;1.066096;9
4.1002;1.066698;9
4.1502;1.067809;9
4.200201;1.071836;9
4.2502;1.067326;9
4.3002;1.067471;9
4.3502;1.073137;9
4.4002;1.07017;9
4.450201;1.068111;9
4.5002;1.06772;9
4.5502;1.066974;9
4.6002;1.070097;9
4.6502;1.071277;9
4.700201;1.070002;9
4.7502;1.070718;9
4.8002;1.072425;9
4.8502;1.071583;9
4.9002;1.074006;9
4.950201;1.067395;9
5.0002;1.074036;9
5.0502;1.070165;9
5.1003;1.070866;9
5.150301;1.070231;9
5.2003;1.076399;9
5.2503;1.069682;9
5.3003;1.069697;9
5.3503;1.072115;9
5.400301;1.075725;9
5.4503;1.069112;9
5.5003;1.071793;9
5.5503;1.068421;9
5.6003;1.074222;9
5.650301;1.070915;9
5.7003;1.072085;9
5.7503;1.071901;9
5.8003;1.072017;9
5.8503;1.070837;9
5.900301;1.073913;9
5.9503;1.073246;9
6.0003;1.072116;9
6.0503;1.07733;9
6.1003;1.072716;9
6.150301;1.072829;9
6.2003;1.072672;9
6.2503;1.073568;9
6.3003;1.0729;9
6.3503;1.072418;9
6.400301;1.072765;9
6.4503;1.070274;9
6.5003;1.07875;9
6.5503;1.071322;9
6.6003;1.074644;9
6.650301;1.077222;9
6.7003;1.074026;9
6.7503;1.071139;9
6.8003;1.071998;9
6.8503;1.076498;9
6.9004;1.074407;9
6.9504;1.074865;9
7.0004;1.074039;9
7.0504;1.073812;9
7.1004;1.074313;9
7.1504;1.071682;9
7.2004;1.073291;9
7.2504;1.07866;9
7.3004;1.076922;9
7.3504;1.076443;9
7.4004;1.075776;9
7.4504;1.077323;9
7.5004;1.074782;9
7.5504;1.074416;9
7.6004;1.074389;9
7.6504;1.080353;9
7.7004;1.073471;9
7.7504;1.076486;9
7.8004;1.07799;9
7.8504;1.078172;9
7.9004;1.081076;9
7.9504;1.076871;9
8.000401;1.069432;9
8.0504;1.076875;9
8.100401;1.072421;9
8.1504;1.073048;9
8.200399;1.07096;9
8.250401;1.075252;9
8.3004;1.075173;9
8.350401;1.081989;9
8.4004;1.079808;9
8.450399;1.076071;9
8.500401;1.074719;9
8.5504;1.079057;9
8.600401;1.084789;9
8.6504;1.077585;9
8.7005;1.079096;9
8.7505;1.077084;9
8.800501;1.078505;9
8.8505;1.078449;9
8.900499;1.075757;9
8.9505;1.081253;9
9.0005;1.078025;9
9.050501;1.075367;9
9.1005;1.080799;9
9.150499;1.077851;9
9.2005;1.077731;9
9.2505;1.076943;9
9.300501;1.077173;9
9.3505;1.082801;9
9.400499;1.07988;9
9.4505;1.079378;9
9.5005;1.079798;9
9.550501;1.075657;9
9.6005;1.083163;9
9.650499;1.077235;9
9.7005;1.077155;9
9.7505;1.081138;9
9.800501;1.078163;9
9.8505;1.083294;9
9.900499;1.075765;9
9.9505;1.07986;9
10.0005;1.082492;9
10.0005;1.082492;9
-4.9503;0.9320372;17
-4.9003;0.9319615;17
-4.8503;0.9340816;17
-4.8003;0.9304011;17
-4.7503;0.9306669;17
-4.7003;0.9304447;17
-4.6503;0.9310988;17
-4.6003;0.9338483;17
-4.5502;0.929424;17
-4.5002;0.9307121;17
-4.4502;0.9320657;17
-4.4002;0.9305593;17
-4.3502;0.9319523;17
-4.3002;0.9335924;17
-4.2502;0.9323714;17
-4.2002;0.935673;17
-4.1502;0.9313036;17
-4.1002;0.9341447;17
-4.0502;0.9334943;17
-4.0002;0.9323632;17
-3.9502;0.9310918;17
-3.9002;0.9308037;17
-3.8502;0.9334708;17
-3.8002;0.93277;17
-3.7502;0.9330996;17
-3.7002;0.9321014;17
-3.6502;0.9346513;17
-3.6002;0.9331368;17
-3.5502;0.9326645;17
-3.5002;0.9328049;17
-3.4502;0.9293189;17
-3.4002;0.9295005;17
-3.3502;0.9318472;17
-3.3002;0.9346757;17
-3.2502;0.9321902;17
-3.2002;0.9335076;17
