Time [s];Ratio 670nm / 650nm;Capillary Position
-4.9503;0.7794759;1
-4.9002;0.7745606;1
-4.8502;0.7771308;1
-4.8002;0.7742097;1
-4.7502;0.7769904;1
-4.7002;0.7746456;1
-4.6502;0.77382;1
-4.6002;0.7837501;1
-4.5502;0.7749387;1
-4.5002;0.7778395;1
-4.4502;0.780267;1
-4.4002;0.775283;1
-4.3502;0.7794477;1
-4.3002;0.7833421;1
-4.2502;0.7694457;1
-4.2002;0.7760589;1
-4.1502;0.770989;1
-4.1002;0.7724743;1
-4.0502;0.7731817;1
-4.0002;0.7726475;1
-3.9502;0.776346;1
-3.9002;0.7791811;1
-3.8502;0.7754367;1
-3.8002;0.7786673;1
-3.7502;0.77828;1
-3.7002;0.7741393;1
-3.6502;0.7775885;1
-3.6002;0.7737825;1
-3.5502;0.7731945;1
-3.5002;0.7824628;1
-3.4502;0.7768795;1
-3.4002;0.7733487;1
-3.3502;0.7714648;1
-3.3002;0.7771645;1
-3.2502;0.7779067;1
-3.2002;0.7784815;1
-3.1502;0.7748826;1
-3.1001;0.7787991;1
-3.0501;0.7764584;1
-3.0001;0.7773473;1
-2.9501;0.7806361;1
-2.9001;0.7759111;1
-2.8501;0.7748464;1
-2.8001;0.7791518;1
-2.7501;0.7801815;1
-2.7001;0.7756446;1
-2.6501;0.7739689;1
-2.6001;0.7824184;1
-2.5501;0.7827191;1
-2.5001;0.774202;1
-2.4501;0.7778076;1
-2.4001;0.775557;1
-2.3501;0.7758206;1
-2.3001;0.7740557;1
-2.2501;0.7759512;1
-2.2001;0.7765256;1
-2.1501;0.7776374;1
-2.1001;0.7811371;1
-2.0501;0.7752437;1
-2.0001;0.7805587;1
-1.9501;0.7813426;1
-1.9001;0.7769328;1
-1.8501;0.7771464;1
-1.8001;0.7766142;1
-1.7501;0.7725832;1
-1.7001;0.7795823;1
-1.6501;0.775116;1
-1.6001;0.7815281;1
-1.5501;0.780468;1
-1.5001;0.7779441;1
-1.4501;0.7763281;1
-1.4001;0.7828085;1
-1.3501;0.7813615;1
-1.3;0.7800153;1
-1.25;0.7790682;1
-1.2;0.7801107;1
-1.15;0.7754645;1
-1.1;0.7779922;1
-1.05;0.7800555;1
-1;0.7804688;1
-0.9499998;0.7799991;1
-0.9000001;0.7746939;1
-0.8499999;0.7790704;1
-0.7999997;0.7804877;1
-0.75;0.7771432;1
-0.6999998;0.7760983;1
-0.6500001;0.7810578;1
-0.5999999;0.7764463;1
-0.5499997;0.7763512;1
-0.5;0.7753034;1
-0.4499998;0.7767417;1
-0.4000001;0.7792277;1
