Time [s];Ratio 670nm / 650nm;Capillary Position
-4.9503;0.7135467;1
-4.9003;0.7074866;1
-4.8503;0.7160891;1
-4.8003;0.7138512;1
-4.7503;0.7045566;1
-4.7003;0.7183228;1
-4.6503;0.7092426;1
-4.6003;0.720126;1
-4.5503;0.7164151;1
-4.5003;0.7122415;1
-4.4503;0.7136676;1
-4.4003;0.7082896;1
-4.3503;0.7140658;1
-4.3003;0.7109126;1
-4.2503;0.7148632;1
-4.2002;0.7140861;1
-4.1502;0.7111317;1
-4.1002;0.723537;1
-4.0502;0.7119693;1
-4.0002;0.7123964;1
-3.9502;0.7126487;1
-3.9002;0.711524;1
-3.8502;0.7029811;1
-3.8002;0.7126407;1
-3.7502;0.7095259;1
-3.7002;0.7092698;1
-3.6502;0.7161319;1
-3.6002;0.7156952;1
-3.5502;0.7126886;1
-3.5002;0.7195975;1
-3.4502;0.714509;1
-3.4002;0.7227824;1
-3.3502;0.7124465;1
-3.3002;0.7043409;1
-3.2502;0.7160218;1
-3.2002;0.711103;1
-3.1502;0.7145978;1
-3.1002;0.7102904;1
-3.0502;0.7097775;1
-3.0002;0.703182;1
-2.9502;0.7234592;1
-2.9002;0.7211694;1
-2.8502;0.7133187;1
-2.8002;0.7127988;1
-2.7502;0.7154423;1
-2.7002;0.710713;1
-2.6502;0.7207308;1
-2.6002;0.7101224;1
-2.5502;0.7204215;1
-2.5002;0.7067236;1
-2.4502;0.7154701;1
-2.4001;0.702647;1
-2.3501;0.7113757;1
-2.3001;0.7154265;1
-2.2501;0.7186085;1
-2.2001;0.7091404;1
-2.1501;0.7021272;1
-2.1001;0.7125678;1
-2.0501;0.7208129;1
-2.0001;0.7102885;1
-1.9501;0.7137427;1
-1.9001;0.7059048;1
-1.8501;0.7147074;1
-1.8001;0.7200962;1
-1.7501;0.7125563;1
-1.7001;0.7060769;1
-1.6501;0.7165607;1
-1.6001;0.7102636;1
-1.5501;0.7040264;1
-1.5001;0.7126805;1
-1.4501;0.7113669;1
-1.4001;0.7110329;1
-1.3501;0.7222531;1
-1.3001;0.7191966;1
-1.2501;0.713057;1
-1.2001;0.6988519;1
-1.1501;0.7095662;1
-1.1001;0.7209855;1
-1.0501;0.7133866;1
-1.0001;0.7130176;1
-0.9500999;0.7153643;1
-0.9000998;0.7208402;1
-0.8501;0.7145464;1
-0.8000998;0.7191692;1
-0.7501001;0.7083163;1
-0.7000999;0.7184439;1
-0.6500998;0.7148904;1
-0.5999999;0.7162196;1
-0.5499997;0.7100954;1
-0.5;0.7164036;1
-0.4499998;0.7077567;1
-0.4000001;0.7142518;1
-0.3499999;0.7155613;1
-0.2999997;0.7138591;1
-0.25;0.7093934;1
-0.1999998;0.7031508;1
-0.1500001;0.7068588;1
-0.0999999;0.7150244;1
-0.04999971;0.7196913;1
0;0.7141599;1
0.05000019;0.7162089;1
0.0999999;0.7269793;1
0.1500001;0.7124935;1
0.2000003;0.7128636;1
0.25;0.7075895;1
0.3000002;0.7235696;1
0.3499999;0.718312;1
0.4000001;0.7067711;1
0.4500003;0.712963;1
0.5;0.7135501;1
0.5500002;0.7131378;1
0.5999999;0.7153611;1
0.6500001;0.7111071;1
0.7000003;0.7103407;1
0.75;0.714891;1
0.8000002;0.7092052;1
0.8499999;0.7179151;1
0.9000001;0.7080847;1
0.9500003;0.7151018;1
1;0.7178583;1
1.05;0.7142136;1
1.1;0.7083434;1
1.15;0.7111634;1
1.2001;0.7171898;1
1.2501;0.7071934;1
1.3001;0.7183332;1
1.3501;0.7195147;1
1.4001;0.7188223;1
1.4501;0.7182639;1
1.5001;0.7119043;1
1.5501;0.7158191;1
1.6001;0.7206438;1
1.6501;0.7173468;1
1.7001;0.7219549;1
1.7501;0.703386;1
1.8001;0.7170616;1
1.8501;0.7276762;1
1.9001;0.7176809;1
1.9501;0.7177201;1
2.0001;0.7165231;1
2.0501;0.7094908;1
2.1001;0.7085185;1
2.1501;0.7206222;1
2.2001;0.7183407;1
2.2501;0.7246224;1
2.3001;0.7123362;1
2.3501;0.7219881;1
2.4001;0.7259048;1
2.4501;0.7127154;1
2.5001;0.7296052;1
2.5501;0.7142997;1
2.6001;0.7137742;1
2.6501;0.7259641;1
2.7001;0.7145579;1
2.7501;0.7244332;1
2.8001;0.7216294;1
2.8501;0.725864;1
2.9001;0.7088224;1
2.9501;0.719978;1
3.0002;0.7192404;1
3.0502;0.7191415;1
3.1002;0.7184218;1
3.1502;0.7266724;1
3.200201;0.7168388;1
3.2502;0.7184237;1
3.3002;0.7142085;1
3.3502;0.7137666;1
3.4002;0.7183921;1
3.450201;0.7195823;1
3.5002;0.7202324;1
3.5502;0.7171992;1
3.6002;0.7114213;1
3.6502;0.7246892;1
3.700201;0.7210696;1
3.7502;0.7195996;1
3.8002;0.7114604;1
3.8502;0.7094027;1
3.9002;0.7201087;1
3.950201;0.7073246;1
4.0002;0.7149206;1
4.0502;0.7223345;1
4.1002;0.7131848;1
4.1502;0.7166195;1
4.200201;0.7101368;1
4.2502;0.7224901;1
4.3002;0.7198294;1
4.3502;0.7182422;1
4.4002;0.7190146;1
4.450201;0.718816;1
4.5002;0.7158232;1
4.5502;0.7107219;1
4.6002;0.7247069;1
4.6502;0.7162597;1
4.700201;0.7183762;1
4.7502;0.7259023;1
4.8003;0.7158709;1
4.8503;0.7198351;1
4.900301;0.7176337;1
4.9503;0.7272121;1
5.0003;0.7251968;1
5.0503;0.7112339;1
5.1003;0.7126083;1
5.150301;0.7092149;1
5.2003;0.7218772;1
5.2503;0.7170963;1
5.3003;0.7148207;1
5.3503;0.7259992;1
5.400301;0.7097834;1
5.4503;0.7327783;1
5.5003;0.7334312;1
5.5503;0.7194784;1
5.6003;0.709181;1
5.650301;0.708447;1
5.7003;0.7242147;1
5.7503;0.7268462;1
5.8003;0.7250666;1
5.8503;0.7113559;1
5.900301;0.7123347;1
5.9503;0.7164679;1
6.0003;0.7183979;1
6.0503;0.7163982;1
6.1003;0.7243745;1
6.150301;0.7218786;1
6.2003;0.7172301;1
6.2503;0.7191281;1
6.3003;0.7173349;1
6.3503;0.7088064;1
6.400301;0.7188217;1
6.4503;0.7060061;1
6.5003;0.7241021;1
6.5503;0.7213639;1
6.6004;0.7229098;1
6.6504;0.7254396;1
6.7004;0.7178012;1
6.7504;0.7222198;1
6.8004;0.7301043;1
6.8504;0.7289189;1
6.9004;0.7151956;1
6.9504;0.7162617;1
7.0004;0.7172378;1
7.0504;0.7209387;1
7.1004;0.7234825;1
7.1504;0.728314;1
7.2004;0.7224941;1
7.2504;0.7281661;1
7.3004;0.7233997;1
7.3504;0.7262374;1
7.4004;0.7150869;1
7.4504;0.7283189;1
7.5004;0.7171606;1
7.5504;0.7088181;1
7.6004;0.7141021;1
7.6504;0.7225171;1
7.7004;0.7228497;1
7.7504;0.7253165;1
7.8004;0.7147083;1
7.8504;0.7090862;1
7.9004;0.7273639;1
7.9504;0.7242593;1
8.000401;0.7165653;1
8.0504;0.7198614;1
8.100401;0.7201256;1
8.1504;0.7226563;1
8.200399;0.7245499;1
8.250401;0.7168233;1
8.3004;0.7160155;1
8.3505;0.7204872;1
8.400499;0.7139364;1
8.4505;0.7171686;1
8.5005;0.7240837;1
8.550501;0.7128704;1
8.6005;0.7183172;1
8.650499;0.7212653;1
8.7005;0.7281531;1
8.7505;0.7209817;1
8.800501;0.7210863;1
8.8505;0.7083938;1
8.900499;0.7186916;1
8.9505;0.7129394;1
9.0005;0.7138827;1
9.050501;0.7142248;1
9.1005;0.7132788;1
9.150499;0.719552;1
9.2005;0.7298648;1
9.2505;0.7152053;1
9.300501;0.7125721;1
9.3505;0.714233;1
9.400499;0.728928;1
9.4505;0.7165407;1
9.5005;0.7164623;1
9.550501;0.7211096;1
9.6005;0.7166077;1
9.650499;0.7228204;1
9.7005;0.7293122;1
9.7505;0.7273763;1
9.800501;0.7251939;1
9.8505;0.7250497;1
9.900499;0.7255602;1
9.9505;0.7176902;1
10.0005;0.7249997;1
10.0005;0.7249997;1
-4.9503;0.9896923;9
-4.9003;0.987859;9
-4.8502;1.000943;9
-4.8002;0.9878709;9
-4.7502;0.991757;9
-4.7002;0.9875205;9
-4.6502;0.9885924;9
-4.6002;0.9960724;9
-4.5502;0.9897582;9
-4.5002;0.9911417;9
-4.4502;0.9962772;9
-4.4002;0.9885378;9
-4.3502;0.9917347;9
-4.3002;0.9974667;9
-4.2502;1.001994;9
-4.2002;0.997139;9
-4.1502;0.9917514;9
-4.1002;0.9897131;9
-4.0502;0.9915847;9
-4.0002;0.993863;9
-3.9502;0.9971788;9
-3.9002;0.9967929;9
-3.8502;0.9861339;9
-3.8002;0.9900205;9
-3.7502;0.9899023;9
-3.7002;0.9868177;9
-3.6502;0.9962634;9
-3.6002;0.9952599;9
-3.5502;0.9945909;9
-3.5002;0.9875833;9
-3.4502;0.9901329;9
-3.4002;0.997605;9
-3.3502;0.9917745;9
-3.3002;0.999334;9
-3.2502;0.9970872;9
-3.2002;0.9905546;9
-3.1502;0.9860332;9
-3.1001;0.9986984;9
-3.0501;0.988538;9
-3.0001;0.9886806;9
-2.9501;0.9950981;9
-2.9001;0.9908933;9
-2.8501;0.9916396;9
-2.8001;0.9813901;9
-2.7501;1.000575;9
-2.7001;0.9945493;9
-2.6501;1.001946;9
-2.6001;0.9965058;9
-2.5501;0.9943946;9
-2.5001;0.9887506;9
-2.4501;0.9928008;9
-2.4001;0.9974252;9
-2.3501;0.9931601;9
-2.3001;0.9975485;9
-2.2501;0.9937229;9
-2.2001;0.9836795;9
-2.1501;0.9848039;9
-2.1001;0.9832969;9
-2.0501;0.9939184;9
-2.0001;0.9919696;9
-1.9501;0.9960105;9
-1.9001;0.991014;9
-1.8501;0.9899872;9
-1.8001;0.9863745;9
-1.7501;0.9972338;9
-1.7001;0.9875324;9
-1.6501;0.996431;9
-1.6001;0.9977165;9
-1.5501;0.9941381;9
-1.5001;0.9918469;9
-1.4501;0.9901682;9
-1.4001;0.9918686;9
-1.3501;0.996673;9
-1.3;0.9981469;9
-1.25;0.9941064;9
-1.2;0.9994143;9
-1.15;0.9921932;9
-1.1;0.9912696;9
-1.05;0.9909883;9
-1;0.9947253;9
-0.9499998;0.9889671;9
-0.9000001;1.000393;9
-0.8499999;0.9984076;9
-0.7999997;0.9936587;9
-0.75;0.9923474;9
-0.6999998;0.9923662;9
-0.6500001;1.00189;9
-0.5999999;0.9877907;9
-0.5499997;1.00073;9
-0.5;0.9890547;9
-0.4499998;0.9959608;9
-0.4000001;0.9932241;9
-0.3499999;0.9927454;9
-0.2999997;0.9884689;9
-0.25;0.9923778;9
-0.1999998;0.992422;9
-0.1500001;0.9939942;9
-0.0999999;0.9959843;9
-0.04999971;0.9936928;9
0;0.9954923;9
0.05000019;0.9881616;9
0.0999999;0.9952354;9
0.1500001;1.004739;9
0.2000003;0.9932596;9
0.25;1.00413;9
0.3000002;1.001909;9
0.3499999;1.005229;9
0.4000001;0.9956182;9
0.4500003;1.00291;9
0.5001001;1.00198;9
0.5500998;1.000973;9
0.6001;1.014273;9
0.6501002;1.000996;9
0.7000999;1.008728;9
0.7501001;1.007694;9
0.8000998;0.998906;9
0.8501;1.009754;9
0.9001002;1.010287;9
0.9500999;1.009666;9
1.0001;1.009216;9
1.0501;1.004015;9
1.1001;1.017484;9
1.1501;1.008866;9
1.2001;1.006683;9
1.2501;1.014464;9
1.3001;1.005489;9
