Time [s];Ratio 670nm / 650nm;Capillary Position
-4.9502;0.7138754;1
-4.9002;0.7208086;1
-4.8502;0.7135552;1
-4.8002;0.7178506;1
-4.7502;0.7155642;1
-4.7002;0.7166575;1
-4.6502;0.7158321;1
-4.6002;0.7108447;1
-4.5502;0.7162028;1
-4.5002;0.7187303;1
-4.4502;0.71829;1
-4.4002;0.7194996;1
-4.3502;0.716028;1
-4.3002;0.715113;1
-4.2502;0.7165731;1
-4.2002;0.7137994;1
-4.1502;0.7169911;1
-4.1002;0.7158076;1
-4.0502;0.7197637;1
-4.0002;0.7171745;1
-3.9502;0.7151235;1
-3.9002;0.7131142;1
-3.8502;0.7125182;1
-3.8002;0.721083;1
-3.7502;0.7220912;1
-3.7002;0.7140924;1
-3.6502;0.7107324;1
-3.6002;0.7135822;1
-3.5502;0.7191218;1
-3.5002;0.7137477;1
-3.4502;0.7187494;1
-3.4001;0.712661;1
-3.3501;0.7152725;1
-3.3001;0.7162672;1
-3.2501;0.7162244;1
-3.2001;0.7164666;1
-3.1501;0.7157256;1
-3.1001;0.7135653;1
-3.0501;0.7170894;1
-3.0001;0.7158773;1
-2.9501;0.7192047;1
-2.9001;0.7178878;1
-2.8501;0.7119724;1
-2.8001;0.7173116;1
-2.7501;0.719381;1
-2.7001;0.7209637;1
-2.6501;0.7152904;1
-2.6001;0.7183315;1
-2.5501;0.7135206;1
-2.5001;0.7173783;1
-2.4501;0.7157872;1
-2.4001;0.7178735;1
-2.3501;0.7119139;1
-2.3001;0.7158809;1
-2.2501;0.718815;1
-2.2001;0.7133054;1
-2.1501;0.7181497;1
-2.1001;0.7154394;1
-2.0501;0.7186872;1
-2.0001;0.7136111;1
-1.9501;0.7118807;1
-1.9001;0.7177327;1
-1.8501;0.7179645;1
-1.8001;0.718744;1
-1.7501;0.7155305;1
-1.7001;0.7159069;1
-1.6501;0.7152901;1
-1.6;0.7183447;1
-1.55;0.7157384;1
-1.5;0.7160752;1
-1.45;0.718957;1
-1.4;0.7144398;1
-1.35;0.7185147;1
-1.3;0.7173279;1
-1.25;0.7142997;1
-1.2;0.7157528;1
-1.15;0.7162464;1
-1.1;0.7188007;1
-1.05;0.7198949;1
-1;0.7192171;1
-0.9499998;0.7129381;1
-0.9000001;0.7191038;1
-0.8499999;0.7161656;1
-0.7999997;0.7188707;1
-0.75;0.7147017;1
-0.6999998;0.7168248;1
-0.6500001;0.7163922;1
-0.5999999;0.7128669;1
-0.5499997;0.719726;1
-0.5;0.717979;1
-0.4499998;0.7200106;1
-0.4000001;0.7114803;1
-0.3499999;0.715593;1
