Time [s];Relative Fluorescence 650nm;Capillary Position
-4.9502;1.003286;1
-4.9002;0.9962267;1
-4.8502;0.9952915;1
-4.8002;0.9949453;1
-4.7502;0.9946297;1
-4.7002;0.9975841;1
-4.6502;1.005497;1
-4.6002;1.000866;1
-4.5502;0.9929631;1
-4.5002;1.001054;1
-4.4502;1.00409;1
-4.4002;1.000857;1
-4.3502;0.998132;1
-4.3002;1.003363;1
-4.2502;0.9963765;1
-4.2002;0.9979964;1
-4.1502;0.9987113;1
-4.1002;1.000128;1
-4.0502;0.9996965;1
-4.0002;0.9982405;1
-3.9502;0.9959067;1
-3.9002;0.9999884;1
-3.8502;0.9977349;1
-3.8002;0.9968072;1
-3.7502;0.9994535;1
-3.7002;0.996829;1
-3.6502;1.000142;1
-3.6002;0.9980972;1
-3.5502;0.9997053;1
-3.5002;0.9977359;1
-3.4502;1.002854;1
-3.4002;0.9984205;1
-3.3502;0.9967334;1
-3.3002;1.001427;1
-3.2502;0.9964861;1
-3.2002;0.9936348;1
-3.1501;0.9944453;1
-3.1001;0.9995458;1
-3.0501;0.9929653;1
-3.0001;1.001054;1
-2.9501;0.997826;1
-2.9001;1.006696;1
-2.8501;0.9995164;1
-2.8001;0.99457;1
-2.7501;1.000719;1
-2.7001;0.9899577;1
-2.6501;1.006126;1
-2.6001;0.9903201;1
-2.5501;0.9924999;1
-2.5001;0.996741;1
-2.4501;0.995642;1
-2.4001;0.9963201;1
-2.3501;0.9955899;1
-2.3001;0.9980951;1
-2.2501;0.9955269;1
-2.2001;0.9929599;1
-2.1501;0.9964297;1
-2.1001;0.9956506;1
-2.0501;0.9951819;1
-2.0001;0.9980474;1
-1.9501;0.9979671;1
-1.9001;0.9966727;1
-1.8501;0.9957169;1
-1.8001;0.9967334;1
-1.7501;0.9914072;1
-1.7001;0.9956365;1
-1.6501;0.9940742;1
-1.6001;0.9964557;1
-1.5501;0.9976394;1
-1.5001;0.9973226;1
-1.4501;0.9947056;1
-1.4001;0.9935371;1
-1.35;0.9967128;1
-1.3;0.9911642;1
-1.25;0.9979834;1
-1.2;0.9964297;1
-1.15;0.9927809;1
-1.1;0.9888499;1
-1.05;0.9958297;1
-1;0.9928655;1
-0.9499998;0.9959544;1
-0.9000001;0.9917241;1
-0.8499999;0.9959674;1
-0.7999997;0.995898;1
-0.75;0.9904959;1
-0.6999998;0.9953989;1
-0.6500001;0.9916883;1
-0.5999999;0.9976676;1
-0.5499997;0.9956636;1
-0.5;0.9926235;1
-0.4499998;0.993562;1
-0.4000001;0.9934514;1
-0.3499999;0.9942141;1
-0.2999997;0.9943128;1
-0.25;0.9895281;1
-0.1999998;0.9890594;1
-0.1500001;0.98728;1
-0.0999999;0.9913639;1
-0.04999971;0.9944615;1
0;0.9971685;1
0.05000019;0.9772049;1
0.0999999;0.9653178;1
0.1500001;0.9553022;1
0.2000003;0.9432785;1
0.25;0.9394647;1
0.3000002;0.9282688;1
0.3499999;0.9359744;1
0.4001002;0.9314902;1
0.4500999;0.9282591;1
0.5001001;0.9192982;1
0.5500998;0.9185073;1
0.6001;0.9197301;1
0.6501002;0.9189402;1
0.7000999;0.9175015;1
0.7501001;0.9155247;1
0.8000998;0.9126939;1
0.8501;0.9077052;1
0.9001002;0.9045848;1
0.9500999;0.9090408;1
1.0001;0.8985751;1
1.0501;0.8988919;1
1.1001;0.9003392;1
1.1501;0.8968521;1
1.2001;0.8994875;1
1.2501;0.9047129;1
1.3001;0.8956401;1
1.3501;0.9009924;1
1.4001;0.8970582;1
1.4501;0.8887191;1
1.5001;0.8905538;1
1.5501;0.8886344;1
1.6001;0.8844551;1
1.6501;0.887901;1
1.7001;0.8857755;1
1.7501;0.8792038;1
1.8001;0.8901035;1
1.8501;0.8823817;1
1.9001;0.8826692;1
1.9501;0.8756939;1
2.0001;0.8779061;1
2.0501;0.8808118;1
2.1001;0.8785962;1
2.1501;0.8767116;1
2.2002;0.8755593;1
2.2502;0.8781101;1
2.3002;0.8740436;1
2.3502;0.8693532;1
2.4002;0.872045;1
2.4502;0.8693749;1
2.5002;0.8684332;1
2.5502;0.8698751;1
2.6002;0.8651814;1
2.6502;0.8710458;1
2.7002;0.8648505;1
2.7502;0.8687814;1
2.8002;0.8664922;1
2.8502;0.8638676;1
2.9002;0.8592618;1
2.9502;0.864205;1
3.0002;0.8602556;1
3.0502;0.8608936;1
3.1002;0.8592563;1
3.1502;0.8579859;1
3.200201;0.8554426;1
3.2502;0.862022;1
3.3002;0.8543685;1
3.3502;0.85394;1
3.4002;0.8539617;1
3.450201;0.8539389;1
3.5002;0.8542622;1
3.5502;0.8552126;1
3.6002;0.8544282;1
3.6502;0.8517928;1
3.700201;0.8524394;1
3.7502;0.8441458;1
3.8002;0.8458493;1
3.8502;0.8456952;1
3.9002;0.8511266;1
3.950201;0.8535201;1
4.0003;0.8458449;1
4.0503;0.8461726;1
4.1003;0.8505136;1
4.150301;0.8462724;1
4.2003;0.8420453;1
4.2503;0.8458633;1
4.3003;0.8442326;1
4.3503;0.8486235;1
4.400301;0.841926;1
4.4503;0.8412164;1
4.5003;0.8429263;1
4.5503;0.8438312;1
4.6003;0.8449715;1
4.650301;0.8342595;1
4.7003;0.8405632;1
4.7503;0.8432909;1
4.8003;0.8377575;1
4.8503;0.8425335;1
4.900301;0.8325495;1
4.9503;0.8327796;1
5.0003;0.8391148;1
5.0503;0.837368;1
5.1003;0.8283007;1
5.150301;0.8367365;1
5.2003;0.8350754;1
5.2503;0.835198;1
5.3003;0.8318031;1
5.3503;0.833258;1
5.400301;0.8322999;1
5.4503;0.8285655;1
5.5003;0.8300747;1
5.5503;0.8320081;1
5.6003;0.8278081;1
5.650301;0.828955;1
5.7003;0.8308982;1
5.7503;0.8282649;1
5.8004;0.8255764;1
5.8504;0.8289246;1
5.9004;0.8293033;1
5.9504;0.826274;1
6.0004;0.8242689;1
6.0504;0.8287705;1
6.1004;0.8263065;1
6.1504;0.8292056;1
6.2004;0.8293141;1
6.2504;0.8201536;1
6.3004;0.8236994;1
6.3504;0.82155;1
6.4004;0.8186748;1
6.4504;0.824882;1
6.5004;0.8231341;1
6.5504;0.826261;1
6.6004;0.8221662;1
6.6504;0.819214;1
6.7004;0.8253116;1
6.7504;0.8188723;1
6.8004;0.8161598;1
6.8504;0.8276986;1
6.9004;0.8218939;1
6.9504;0.8240042;1
7.0004;0.820785;1
7.0504;0.8183699;1
7.1004;0.8187334;1
7.1504;0.8214415;1
7.2004;0.8207536;1
7.2504;0.8205562;1
7.3004;0.819649;1
7.3504;0.8174769;1
7.4004;0.823797;1
7.4504;0.8133953;1
7.5004;0.8153005;1
7.5504;0.8131132;1
7.6005;0.8201439;1
7.6505;0.8179261;1
7.7005;0.8178805;1
7.7505;0.8163388;1
7.8005;0.8124382;1
7.8505;0.8080832;1
7.9005;0.813124;1
7.9505;0.8102325;1
8.0005;0.8141601;1
8.050501;0.8137771;1
8.1005;0.8109356;1
8.150499;0.8141862;1
8.2005;0.8120781;1
8.2505;0.8215966;1
8.300501;0.8123363;1
8.3505;0.8074484;1
8.400499;0.8072336;1
8.4505;0.8140245;1
8.5005;0.8121204;1
8.550501;0.8085736;1
8.6005;0.8124828;1
8.650499;0.8111688;1
8.7005;0.8101739;1
8.7505;0.8078629;1
8.800501;0.808259;1
8.8505;0.8112459;1
8.900499;0.8010785;1
8.9505;0.8110778;1
9.0005;0.8123982;1
9.050501;0.8110257;1
9.1005;0.8073627;1
9.150499;0.805131;1
9.2005;0.8056126;1
9.2505;0.8035132;1
9.300501;0.8064535;1
9.3505;0.8127106;1
9.4006;0.8142893;1
9.4506;0.8037075;1
9.500601;0.8077371;1
9.5506;0.8028145;1
9.600599;0.8065881;1
9.6506;0.809498;1
9.7006;0.8051342;1
9.750601;0.805502;1
9.8006;0.8090304;1
9.850599;0.810073;1
9.9006;0.8080387;1
9.9506;0.8090932;1
10.0006;0.8091757;1
10.0006;0.8091757;1
-4.9503;0.9926596;9
-4.9003;0.9997897;9
-4.8503;1.003512;9
-4.8003;0.9995213;9
-4.7503;1.003652;9
-4.7003;0.9997581;9
-4.6503;0.9929262;9
-4.6003;0.9992653;9
-4.5503;1.000389;9
-4.5003;1.001529;9
-4.4503;0.9976794;9
-4.4003;1.000871;9
-4.3503;1.004256;9
-4.3003;1.002273;9
-4.2503;1.00279;9
-4.2003;0.9987779;9
-4.1503;0.9981629;9
-4.1003;1.001116;9
-4.0503;1.00574;9
-4.0003;0.9933576;9
-3.9503;0.999885;9
-3.9003;0.9998311;9
-3.8503;0.9982829;9
-3.8003;0.9987987;9
-3.7503;0.992904;9
-3.7002;1.000196;9
-3.6502;0.9969991;9
-3.6002;0.9988917;9
-3.5502;0.9936942;9
-3.5002;1.00116;9
-3.4502;0.9980592;9
-3.4002;0.9969814;9
-3.3502;1.002502;9
-3.3002;1.00124;9
-3.2502;0.9993553;9
-3.2002;0.9956253;9
-3.1502;0.9984828;9
-3.1002;0.9956322;9
-3.0502;0.9981807;9
-3.0002;0.9957038;9
-2.9502;0.9974857;9
-2.9002;0.9944338;9
-2.8502;0.999988;9
-2.8002;0.9929478;9
-2.7502;0.9948797;9
-2.7002;0.9920008;9
-2.6502;0.9981499;9
-2.6002;0.9944983;9
-2.5502;0.9965401;9
-2.5002;0.9926672;9
-2.4502;0.9973173;9
-2.4002;0.9956946;9
-2.3502;0.9952656;9
-2.3002;0.9982406;9
-2.2502;0.9957222;9
-2.2002;0.9925497;9
-2.1502;0.9972667;9
-2.1002;0.9997504;9
-2.0502;0.9902042;9
-2.0002;0.9940518;9
-1.9502;0.9992046;9
-1.9001;0.9995598;9
-1.8501;0.996963;9
-1.8001;0.9986227;9
-1.7501;1.002592;9
-1.7001;0.9916817;9
-1.6501;0.9892801;9
-1.6001;0.9907531;9
-1.5501;0.9923143;9
-1.5001;0.9938103;9
-1.4501;0.9931485;9
-1.4001;0.9980953;9
-1.3501;0.9941409;9
-1.3001;0.9954101;9
-1.2501;0.9960589;9
-1.2001;0.9957629;9
-1.1501;0.9939295;9
-1.1001;0.9961204;9
-1.0501;0.9948435;9
-1.0001;0.9942892;9
