Time [s];Relative Fluorescence 670nm;Capillary Position
-4.9502;1.001176;1
-4.9002;1.002723;1
-4.8502;0.9992877;1
-4.8002;1.00016;1
-4.7502;0.9988666;1
-4.7002;0.9991598;1
-4.6502;0.9998623;1
-4.6002;0.9985119;1
-4.5502;0.998841;1
-4.5002;0.9975533;1
-4.4502;1.000079;1
-4.4002;0.9969392;1
-4.3502;0.9997099;1
-4.3002;0.9994528;1
-4.2502;1.001183;1
-4.2002;0.9976348;1
-4.1502;1.001649;1
-4.1002;0.9993551;1
-4.0502;0.9978616;1
-4.0002;1.000324;1
-3.9502;0.9968776;1
-3.9002;1.000914;1
-3.8502;0.9960517;1
-3.8002;0.9991341;1
-3.7502;0.9978151;1
-3.7002;0.9966786;1
-3.6502;0.9956445;1
-3.6002;0.999703;1
-3.5502;0.9965379;1
-3.5002;0.9981943;1
-3.4502;0.9983083;1
-3.4002;0.9999577;1
-3.3501;0.9959307;1
-3.3001;0.9972056;1
-3.2501;0.9974278;1
-3.2001;0.9945221;1
-3.1501;0.9957085;1
-3.1001;0.9950886;1
-3.0501;0.996204;1
-3.0001;0.9972242;1
-2.9501;0.9987445;1
-2.9001;0.9975673;1
-2.8501;0.9969531;1
-2.8001;0.9967834;1
-2.7501;0.9935555;1
-2.7001;0.9965542;1
-2.6501;0.9954968;1
-2.6001;0.993987;1
-2.5501;0.9960029;1
-2.5001;0.9942115;1
-2.4501;0.9935415;1
-2.4001;0.9962157;1
-2.3501;0.9959388;1
-2.3001;0.9952863;1
-2.2501;0.9970916;1
-2.2001;0.9951025;1
-2.1501;0.9919025;1
-2.1001;0.9981186;1
-2.0501;0.9922352;1
-2.0001;0.9961494;1
-1.9501;0.9954538;1
-1.9001;0.9982513;1
-1.8501;0.9970694;1
-1.8001;0.9954178;1
-1.7501;0.9967519;1
-1.7001;0.9959877;1
-1.6501;0.9928668;1
-1.6001;0.9945814;1
-1.55;0.9955585;1
-1.5;0.991863;1
-1.45;0.9937742;1
-1.4;0.9943383;1
-1.35;0.9917886;1
-1.3;0.9929296;1
-1.25;0.9918339;1
-1.2;0.9946465;1
-1.15;0.9956608;1
-1.1;0.9932775;1
-1.05;0.9918479;1
-1;0.9957225;1
-0.9499998;0.9906056;1
-0.9000001;0.9923294;1
-0.8499999;0.995712;1
-0.7999997;0.9941627;1
-0.75;0.9953538;1
-0.6999998;0.9942232;1
-0.6500001;0.9931355;1
-0.5999999;0.9915082;1
-0.5499997;0.9920026;1
-0.5;0.9906068;1
-0.4499998;0.9888189;1
-0.4000001;0.9940824;1
-0.3499999;0.9924574;1
-0.2999997;0.9949396;1
-0.25;0.9919025;1
-0.1999998;0.9901473;1
-0.1500001;0.9946814;1
-0.0999999;0.993616;1
-0.04999971;0.989397;1
0;0.9946733;1
0.05000019;0.9785491;1
0.0999999;0.9563763;1
0.1500001;0.9524854;1
0.2000999;0.9414363;1
0.2501001;0.9366509;1
0.3000998;0.9335789;1
0.3501;0.928961;1
0.4001002;0.9299207;1
0.4500999;0.9202173;1
0.5001001;0.9190262;1
0.5500998;0.9214293;1
0.6001;0.9183085;1
0.6501002;0.9147794;1
0.7000999;0.9139965;1
0.7501001;0.9113677;1
0.8000998;0.9102476;1
0.8501;0.9054506;1
0.9001002;0.9060752;1
0.9500999;0.9027507;1
1.0001;0.9020075;1
1.0501;0.8981317;1
1.1001;0.8983132;1
1.1501;0.8971058;1
1.2001;0.8944968;1
1.2501;0.8947422;1
1.3001;0.8922809;1
1.3501;0.8920564;1
1.4001;0.8881539;1
1.4501;0.8889576;1
1.5001;0.8866487;1
1.5501;0.8845154;1
1.6001;0.883458;1
1.6501;0.883294;1
1.7001;0.8839431;1
1.7501;0.8822798;1
1.8001;0.8778247;1
1.8501;0.8790879;1
1.9001;0.8781306;1
1.9501;0.8807397;1
2.0002;0.87216;1
2.0502;0.8703151;1
2.1002;0.8751261;1
2.1502;0.8725613;1
2.2002;0.8659369;1
2.2502;0.8722728;1
2.3002;0.8671477;1
2.3502;0.862324;1
2.4002;0.8678876;1
2.4502;0.8659648;1
2.5002;0.8639967;1
2.5502;0.8655309;1
2.6002;0.8625962;1
2.6502;0.8613155;1
2.7002;0.8622252;1
2.7502;0.8598475;1
2.8002;0.8562371;1
2.8502;0.8585948;1
2.9002;0.8597196;1
2.9502;0.8568058;1
3.0002;0.8556205;1
3.0502;0.8560265;1
3.1002;0.8525985;1
3.1502;0.8573944;1
3.200201;0.8512097;1
3.2502;0.8519844;1
3.3002;0.8508922;1
3.3502;0.8475328;1
3.4002;0.8461964;1
3.450201;0.8485436;1
3.5002;0.8455554;1
3.5502;0.8457613;1
3.6002;0.847698;1
3.6502;0.8441049;1
3.700201;0.8467779;1
3.7502;0.8426323;1
3.8003;0.8414179;1
3.8503;0.8431453;1
3.900301;0.843621;1
3.9503;0.8394859;1
4.0003;0.8419856;1
4.0503;0.8395615;1
4.1003;0.838881;1
4.150301;0.8378807;1
4.2003;0.8404525;1
4.2503;0.8356974;1
4.3003;0.8381168;1
4.3503;0.8405618;1
4.400301;0.8353716;1
4.4503;0.8345947;1
4.5003;0.8359405;1
4.5503;0.8336431;1
4.6003;0.8356857;1
4.650301;0.8352437;1
4.7003;0.8352903;1
4.7503;0.8351623;1
4.8003;0.8293172;1
4.8503;0.8303792;1
4.900301;0.829729;1
4.9503;0.8301989;1
5.0003;0.829223;1
5.0503;0.8278493;1
5.1003;0.8286042;1
5.150301;0.8269013;1
5.2003;0.8293068;1
5.2503;0.825666;1
5.3003;0.8296813;1
5.3503;0.8241666;1
5.400301;0.8252937;1
5.4503;0.8227906;1
5.5003;0.8247086;1
5.5503;0.8261394;1
5.6004;0.821967;1
5.6504;0.8217786;1
5.7004;0.8229313;1
5.7504;0.8212644;1
5.8004;0.821183;1
5.8504;0.8207108;1
5.9004;0.824483;1
5.9504;0.8218065;1
6.0004;0.8200245;1
6.0504;0.8193778;1
6.1004;0.8192463;1
6.1504;0.8194045;1
6.2004;0.8199326;1
6.2504;0.8180494;1
6.3004;0.8172176;1
6.3504;0.8176818;1
6.4004;0.816407;1
6.4504;0.8189392;1
6.5004;0.8153206;1
6.5504;0.8122939;1
6.6004;0.8165745;1
6.6504;0.8136665;1
6.7004;0.8151205;1
6.7504;0.813934;1
6.8004;0.8143074;1
6.8504;0.8141771;1
6.9004;0.8109295;1
6.9504;0.8136479;1
7.0004;0.8101513;1
7.0504;0.8106154;1
7.1004;0.8102071;1
7.1504;0.8106992;1
7.2004;0.8102373;1
7.2504;0.8096313;1
7.3004;0.8082553;1
7.3504;0.8122928;1
7.4005;0.8086042;1
7.4505;0.8075516;1
7.5005;0.8076807;1
7.5505;0.8073829;1
7.6005;0.8069711;1
7.6505;0.8040899;1
7.7005;0.8085892;1
7.7505;0.8072968;1
7.8005;0.8055915;1
7.8505;0.8071212;1
