Time [s];Relative Fluorescence 670nm;Capillary Position
-4.9503;0.9986699;1
-4.9003;1.000037;1
-4.8503;0.9991633;1
-4.8003;1.001804;1
-4.7503;1.000882;1
-4.7003;0.9970447;1
-4.6503;0.9997575;1
-4.6003;0.9987735;1
-4.5503;0.9989919;1
-4.5002;1.00031;1
-4.4502;0.9998142;1
-4.4002;1.00001;1
-4.3502;0.9986147;1
-4.3002;0.9993761;1
-4.2502;0.9995654;1
-4.2002;1.000404;1
-4.1502;0.9968928;1
-4.1002;0.997867;1
-4.0502;1.002013;1
-4.0002;0.9979044;1
-3.9502;1.000661;1
-3.9002;0.9986893;1
-3.8502;0.9997036;1
-3.8002;0.9989491;1
-3.7502;0.9995337;1
-3.7002;0.9947286;1
-3.6502;0.9943929;1
-3.6002;0.9989477;1
-3.5502;0.9958107;1
-3.5002;0.9976432;1
-3.4502;0.9948766;1
-3.4002;1.000437;1
-3.3502;0.9957982;1
-3.3002;0.9989173;1
-3.2502;0.9947881;1
-3.2002;0.9979541;1
-3.1502;0.9959282;1
-3.1002;0.9953975;1
-3.0502;0.9976059;1
-3.0002;0.9959862;1
-2.9502;0.9965569;1
-2.9002;1.000827;1
-2.8502;0.9970752;1
-2.8002;0.9981033;1
-2.7502;0.9967766;1
-2.7001;0.9978021;1
-2.6501;0.9963276;1
-2.6001;0.9980522;1
-2.5501;0.9954348;1
-2.5001;0.9952593;1
-2.4501;0.996358;1
-2.4001;0.997487;1
-2.3501;0.998417;1
-2.3001;0.9976335;1
-2.2501;0.993677;1
-2.2001;0.9982719;1
-2.1501;0.9950341;1
-2.1001;0.9975768;1
-2.0501;0.9971083;1
-2.0001;0.99558;1
-1.9501;0.998464;1
-1.9001;0.9960153;1
-1.8501;0.9918944;1
-1.8001;0.9943168;1
-1.7501;0.993373;1
-1.7001;0.9933675;1
-1.6501;0.9983811;1
-1.6001;0.9943362;1
-1.5501;0.9923863;1
-1.5001;0.9939437;1
-1.4501;0.990236;1
-1.4001;0.9967905;1
-1.3501;0.9952732;1
-1.3001;0.9939865;1
-1.2501;0.9973709;1
-1.2001;0.9962474;1
-1.1501;0.9936549;1
-1.1001;0.9919358;1
-1.0501;0.9963413;1
-1.0001;0.9958024;1
-0.9500999;0.9955164;1
-0.9000001;0.9939838;1
-0.8499999;0.9922011;1
-0.7999997;0.9935845;1
-0.75;0.9936369;1
-0.6999998;0.9932072;1
-0.6500001;0.9937668;1
-0.5999999;0.9929045;1
-0.5499997;0.9945794;1
-0.5;0.9954252;1
-0.4499998;0.9941787;1
-0.4000001;0.9925079;1
-0.3499999;0.9901848;1
-0.2999997;0.9926944;1
-0.25;0.9923656;1
-0.1999998;0.9943472;1
-0.1500001;0.9908924;1
-0.0999999;0.9925673;1
-0.04999971;0.9933827;1
0;0.9941013;1
0.05000019;0.977004;1
0.0999999;0.9570034;1
0.1500001;0.9474459;1
0.2000003;0.9408527;1
0.25;0.9386568;1
0.3000002;0.9327753;1
0.3499999;0.9311364;1
0.4000001;0.9267915;1
0.4500003;0.9237251;1
0.5;0.9191357;1
0.5500002;0.9136674;1
0.5999999;0.9123282;1
0.6500001;0.9128286;1
0.7000003;0.9118252;1
0.75;0.9091899;1
0.8000002;0.9059852;1
0.8501;0.9059825;1
0.9001002;0.9036484;1
0.9500999;0.9013047;1
1.0001;0.8987315;1
1.0501;0.8978664;1
1.1001;0.8950943;1
1.1501;0.8956484;1
1.2001;0.893809;1
1.2501;0.8905892;1
1.3001;0.8902824;1
1.3501;0.8898139;1
1.4001;0.8849481;1
1.4501;0.886822;1
1.5001;0.8808576;1
1.5501;0.8827716;1
1.6001;0.881087;1
1.6501;0.879097;1
1.7001;0.8791302;1
1.7501;0.8777165;1
1.8001;0.8781449;1
1.8501;0.8753271;1
1.9001;0.8723685;1
