Time [s];Relative Fluorescence 670nm;Capillary Position
-4.9503;0.9981413;1
-4.9003;0.9991394;1
-4.8503;0.999383;1
-4.8003;1.001498;1
-4.7503;0.9945704;1
-4.7003;0.9993889;1
-4.6503;1.002306;1
-4.6003;1.008705;1
-4.5503;1.001528;1
-4.5003;0.9966202;1
-4.4503;0.9997692;1
-4.4003;1.002104;1
-4.3503;1.000845;1
-4.3003;0.9920868;1
-4.2503;1.003126;1
-4.2002;1.002383;1
-4.1502;0.9974757;1
-4.1002;1.003019;1
-4.0502;1.000013;1
-4.0002;0.9985809;1
-3.9502;1.001094;1
-3.9002;0.9983432;1
-3.8502;0.9985868;1
-3.8002;0.9960736;1
-3.7502;0.9987354;1
-3.7002;0.9968281;1
-3.6502;0.9983195;1
-3.6002;0.9995732;1
-3.5502;0.9969113;1
-3.5002;1.003198;1
-3.4502;0.9975768;1
-3.4002;1.007256;1
-3.3502;0.9999296;1
-3.3002;0.9994721;1
-3.2502;0.9977788;1
-3.2002;1.002134;1
-3.1502;1.000839;1
-3.1002;0.9993176;1
-3.0502;0.9910173;1
-3.0002;0.9912847;1
-2.9502;1.004665;1
-2.9002;1.001944;1
-2.8502;0.9941009;1
-2.8002;1.005634;1
-2.7502;1.000274;1
-2.7002;0.9999712;1
-2.6502;1.005942;1
-2.6002;0.9984145;1
-2.5502;1.002116;1
-2.5002;0.9943624;1
-2.4502;1.004416;1
-2.4001;0.999181;1
-2.3501;1.000375;1
-2.3001;0.9977016;1
-2.2501;1.000043;1
-2.2001;1.000607;1
-2.1501;1.000565;1
-2.1001;0.9988424;1
-2.0501;1.006061;1
-2.0001;0.9988126;1
-1.9501;1.000862;1
-1.9001;0.9950516;1
-1.8501;0.999888;1
-1.8001;1.005117;1
-1.7501;1.000643;1
-1.7001;0.9908806;1
-1.6501;0.9999772;1
-1.6001;1.001023;1
-1.5501;0.9913203;1
-1.5001;0.9978442;1
-1.4501;1.000054;1
-1.4001;0.9991751;1
-1.3501;1.009359;1
-1.3001;1.003293;1
-1.2501;0.9979392;1
-1.2001;0.9934355;1
-1.1501;0.9928473;1
-1.1001;1.006863;1
-1.0501;1.001486;1
-1.0001;0.9979392;1
-0.9500999;0.9976956;1
-0.9000998;0.9942436;1
-0.8501;1.000453;1
-0.8000998;0.9950753;1
-0.7501001;0.9922472;1
-0.7000999;1.004445;1
-0.6500998;1.003483;1
-0.5999999;0.9971905;1
-0.5499997;1.004077;1
-0.5;1.000631;1
-0.4499998;0.9954081;1
-0.4000001;1.004059;1
-0.3499999;0.9943565;1
-0.2999997;0.9970004;1
-0.25;0.9975708;1
-0.1999998;0.9978085;1
-0.1500001;1.000886;1
-0.0999999;0.9975232;1
-0.04999971;1.003405;1
0;0.9961092;1
0.05000019;0.9803402;1
0.0999999;0.971826;1
0.1500001;0.9526645;1
0.2000003;0.9484282;1
0.25;0.9391534;1
0.3000002;0.9405259;1
0.3499999;0.9356894;1
0.4000001;0.9288744;1
0.4500003;0.9278109;1
0.5;0.9233429;1
0.5500002;0.9203899;1
0.5999999;0.9223922;1
0.6500001;0.9099268;1
0.7000003;0.9093683;1
0.75;0.9106992;1
0.8000002;0.9066293;1
0.8499999;0.9054528;1
0.9000001;0.9068967;1
0.9500003;0.9077344;1
1;0.8995291;1
1.05;0.8995112;1
1.1;0.8997489;1
1.15;0.9062549;1
1.2001;0.8982695;1
1.2501;0.8896067;1
1.3001;0.8889115;1
1.3501;0.8937895;1
1.4001;0.8909733;1
1.4501;0.8906524;1
1.5001;0.8838493;1
1.5501;0.885911;1
1.6001;0.888555;1
1.6501;0.8798268;1
1.7001;0.8824114;1
1.7501;0.8821381;1
1.8001;0.8821144;1
1.8501;0.883671;1
1.9001;0.8785138;1
1.9501;0.8784722;1
2.0001;0.8759767;1
2.0501;0.8758994;1
2.1001;0.8738319;1
2.1501;0.8727326;1
2.2001;0.8713483;1
2.2501;0.8756915;1
2.3001;0.8695123;1
2.3501;0.8693163;1
2.4001;0.868425;1
2.4501;0.8637371;1
2.5001;0.8695658;1
2.5501;0.8649611;1
2.6001;0.8609446;1
2.6501;0.8682587;1
2.7001;0.8588116;1
2.7501;0.8640817;1
2.8001;0.8619725;1
2.8501;0.8588057;1
2.9001;0.8505409;1
2.9501;0.8556447;1
3.0002;0.8539988;1
3.0502;0.8525313;1
3.1002;0.8517292;1
3.1502;0.8548009;1
3.200201;0.8479742;1
3.2502;0.8485683;1
3.3002;0.8470948;1
3.3502;0.8486574;1
3.4002;0.8466017;1
3.450201;0.850125;1
3.5002;0.8506062;1
3.5502;0.8518481;1
3.6002;0.8380992;1
3.6502;0.8421811;1
3.700201;0.8472077;1
3.7502;0.8439754;1
3.8002;0.8386399;1
3.8502;0.8378794;1
3.9002;0.8401313;1
3.950201;0.8373625;1
4.0002;0.8406244;1
4.0502;0.8434705;1
4.1002;0.8382953;1
4.1502;0.8407016;1
4.200201;0.836911;1
4.2502;0.840149;1
4.3002;0.8369525;1
4.3502;0.8328707;1
4.4002;0.8335955;1
4.450201;0.8367267;1
4.5002;0.8341659;1
4.5502;0.8327103;1
4.6002;0.8294899;1
4.6502;0.8297632;1
4.700201;0.8335896;1
4.7502;0.8311773;1
4.8003;0.8277134;1
4.8503;0.8312961;1
4.900301;0.8241188;1
4.9503;0.8303396;1
5.0003;0.8298999;1
5.0503;0.82766;1
5.1003;0.8223957;1
5.150301;0.8215936;1
5.2003;0.8208508;1
5.2503;0.821546;1
5.3003;0.8238871;1
5.3503;0.8235365;1
5.400301;0.8184861;1
5.4503;0.8271074;1
5.5003;0.8287116;1
5.5503;0.8132753;1
5.6003;0.8173573;1
5.650301;0.8080587;1
5.7003;0.8228592;1
5.7503;0.8182306;1
5.8003;0.8171493;1
5.8503;0.8149272;1
5.900301;0.8144697;1
5.9503;0.8189912;1
6.0003;0.8169116;1
6.0503;0.8146122;1
6.1003;0.8159432;1
6.150301;0.8152421;1
6.2003;0.8128179;1
6.2503;0.8113325;1
6.3003;0.8076131;1
6.3503;0.8088014;1
6.400301;0.8056821;1
6.4503;0.8112315;1
6.5003;0.8116177;1
6.5503;0.8149865;1
6.6004;0.8137091;1
6.6504;0.8130437;1
6.7004;0.8132219;1
6.7504;0.8117781;1
6.8004;0.8125149;1
6.8504;0.8095976;1
6.9004;0.8062881;1
6.9504;0.804464;1
7.0004;0.8021765;1
7.0504;0.808736;1
7.1004;0.8111899;1
7.1504;0.806407;1
7.2004;0.8065614;1
7.2504;0.8062346;1
7.3004;0.8044819;1
7.3504;0.8038402;1
7.4004;0.801309;1
7.4504;0.8020459;1
7.5004;0.8034837;1
7.5504;0.7949457;1
7.6004;0.8037273;1
7.6504;0.8026459;1
7.7004;0.799283;1
7.7504;0.8025925;1
7.8004;0.8008338;1
7.8504;0.7979343;1
7.9004;0.8090806;1
7.9504;0.8019864;1
8.000401;0.792777;1
8.0504;0.803246;1
8.100401;0.8013328;1
8.1504;0.8015467;1
8.200399;0.8012319;1
8.250401;0.7963122;1
8.3004;0.7989503;1
8.3505;0.8001683;1
8.400499;0.7945476;1
8.4505;0.7938108;1
8.5005;0.8001743;1
8.550501;0.7938821;1
8.6005;0.7918085;1
8.650499;0.7920284;1
8.7005;0.7953735;1
8.7505;0.7949813;1
8.800501;0.7953794;1
8.8505;0.7860808;1
8.900499;0.799592;1
8.9505;0.7909767;1
9.0005;0.7888377;1
9.050501;0.7950169;1
9.1005;0.7948031;1
9.150499;0.7925156;1
9.2005;0.7941555;1
9.2505;0.7885525;1
9.300501;0.7919452;1
9.3505;0.7882317;1
9.400499;0.7983205;1
9.4505;0.7890754;1
9.5005;0.7878098;1
9.550501;0.7916303;1
9.6005;0.7930027;1
9.650499;0.7879465;1
9.7005;0.78617;1
9.7505;0.7913094;1
9.800501;0.7901805;1
9.8505;0.7884337;1
9.900499;0.7938346;1
9.9505;0.7886952;1
10.0005;0.7891288;1
10.0005;0.7891288;1
-4.9503;0.9988036;9
-4.9003;0.9996784;9
-4.8502;1.002035;9
-4.8002;1.000231;9
-4.7502;0.9999174;9
-4.7002;0.9962899;9
-4.6502;1.001026;9
-4.6002;1.003507;9
-4.5502;1.000048;9
-4.5002;0.9952974;9
-4.4502;0.9997581;9
-4.4002;0.9988435;9
-4.3502;1.000885;9
-4.3002;1.001736;9
-4.2502;1.001364;9
-4.2002;1.002223;9
-4.1502;1.003391;9
-4.1002;0.9982259;9
-4.0502;0.9995353;9
-4.0002;1.000971;9
-3.9502;1.001002;9
-3.9002;1.00125;9
-3.8502;0.9940623;9
-3.8002;0.9976681;9
-3.7502;1.000263;9
-3.7002;0.9966031;9
-3.6502;0.9994212;9
-3.6002;0.9992238;9
-3.5502;0.9979397;9
-3.5002;0.9967915;9
-3.4502;0.9978836;9
-3.4002;0.9993053;9
-3.3502;0.9989848;9
-3.3002;1.002006;9
-3.2502;1.000463;9
-3.2002;0.9991931;9
-3.1502;0.9962609;9
-3.1001;0.9957194;9
-3.0501;0.9974399;9
-3.0001;1.000519;9
-2.9501;0.9988235;9
-2.9001;0.9957103;9
-2.8501;1.000575;9
-2.8001;0.9969038;9
-2.7501;1.002549;9
-2.7001;0.9978818;9
-2.6501;0.999854;9
-2.6001;0.9992854;9
-2.5501;1.001379;9
-2.5001;0.9996548;9
-2.4501;1.002989;9
-2.4001;1.000252;9
-2.3501;1.002145;9
-2.3001;0.9975992;9
-2.2501;0.9996946;9
-2.2001;0.9944209;9
-2.1501;0.9963351;9
-2.1001;0.9976102;9
-2.0501;1.002464;9
-2.0001;0.9983998;9
-1.9501;0.9977496;9
-1.9001;1.000843;9
-1.8501;0.9960997;9
-1.8001;0.9965325;9
-1.7501;0.9960997;9
-1.7001;0.9991278;9
-1.6501;1.00001;9
-1.6001;1.004032;9
-1.5501;0.9965851;9
-1.5001;0.9957973;9
-1.4501;0.9967499;9
-1.4001;1.000725;9
-1.3501;1.003628;9
-1.3;0.9996005;9
-1.25;0.9988489;9
-1.2;1.000185;9
-1.15;0.9952069;9
-1.1;0.9939735;9
-1.05;0.9987457;9
-1;0.9964927;9
-0.9499998;0.997726;9
-0.9000001;0.9983636;9
-0.8499999;1.002375;9
-0.7999997;0.9985971;9
-0.75;0.9971212;9
-0.6999998;0.9986659;9
-0.6500001;1.001729;9
-0.5999999;0.9991441;9
-0.5499997;1.000828;9
-0.5;0.998608;9
-0.4499998;0.9974689;9
-0.4000001;0.9975884;9
-0.3499999;0.9962246;9
-0.2999997;0.9948138;9
-0.25;0.9982984;9
-0.1999998;0.9968097;9
-0.1500001;0.9944444;9
-0.0999999;0.9961504;9
-0.04999971;0.9994647;9
0;0.9981806;9
0.05000019;0.9972624;9
0.0999999;0.9940369;9
0.1500001;0.9940333;9
0.2000003;0.991083;9
0.25;0.9902753;9
0.3000002;0.9922295;9
0.3499999;0.9901359;9
0.4000001;0.9927873;9
0.4500003;0.9921082;9
0.5001001;0.9921951;9
0.5500998;0.9920955;9
0.6001;0.9947994;9
0.6501002;0.9933922;9
0.7000999;0.9912606;9
0.7501001;0.9925518;9
0.8000998;0.9930716;9
0.8501;0.9934846;9
0.9001002;0.9943683;9
0.9500999;0.9946454;9
1.0001;0.9935044;9
1.0501;0.9934592;9
1.1001;0.9987909;9
1.1501;0.9965941;9
1.2001;0.9964981;9
1.2501;0.9984106;9
1.3001;1.000021;9
1.3501;0.998541;9
1.4001;0.9962518;9
1.4501;1.00049;9
1.5001;0.9989014;9
1.5501;0.9996403;9
1.6001;0.9994683;9
1.6501;0.9961667;9
1.7001;1.002315;9
1.7501;1.001841;9
1.8001;1.001797;9
1.8501;1.000412;9
1.9001;1.001795;9
1.9501;1.003132;9
2.0001;1.003032;9
2.0501;1.001786;9
2.1001;1.001033;9
2.1501;1.004371;9
2.2001;1.003148;9
2.2501;1.010141;9
2.3002;1.003875;9
2.3502;1.005572;9
2.4002;1.005441;9
2.4502;1.00472;9
2.5002;1.008757;9
2.5502;1.005253;9
2.6002;1.006461;9
2.6502;1.005963;9
2.7002;1.008625;9
2.7502;1.009168;9
2.8002;1.011059;9
2.8502;1.00896;9
2.9002;1.006814;9
2.9502;1.013499;9
3.0002;1.01095;9
3.0502;1.011898;9
3.1002;1.010409;9
3.1502;1.01364;9
3.200201;1.013553;9
3.2502;1.011954;9
3.3002;1.011115;9
3.3502;1.007064;9
3.4002;1.013131;9
3.450201;1.010724;9
3.5002;1.014685;9
3.5502;1.012149;9
3.6002;1.013388;9
3.6502;1.01644;9
3.700201;1.01651;9
3.7502;1.016909;9
3.8002;1.01609;9
3.8502;1.011874;9
3.9002;1.014929;9
3.950201;1.009054;9
4.0002;1.01255;9
4.0502;1.014956;9
4.1003;1.014665;9
4.150301;1.016528;9
