Time [s];Ratio 670nm / 650nm;Capillary Position
5.3503;0.7697247;1
5.400301;0.769796;1
5.4503;0.776437;1
5.5003;0.7722518;1
5.5503;0.7683825;1
5.6003;0.7758;1
5.650301;0.7715268;1
5.7003;0.7700828;1
5.7503;0.7729529;1
5.8004;0.772316;1
5.8504;0.7710027;1
5.9004;0.7694392;1
5.9504;0.7721669;1
6.0004;0.775626;1
6.0504;0.7696393;1
6.1004;0.7708392;1
6.1504;0.7728348;1
6.2004;0.7693598;1
6.2504;0.7757108;1
6.3004;0.7741352;1
6.3504;0.7725422;1
6.4004;0.7751241;1
6.4504;0.7690849;1
6.5004;0.7696359;1
6.5504;0.7667429;1
6.6004;0.7723933;1
6.6504;0.7732922;1
6.7004;0.7694076;1
6.7504;0.772094;1
6.8004;0.7789989;1
6.8504;0.7652553;1
6.9004;0.7676146;1
6.9504;0.7632142;1
7.0004;0.7721227;1
7.0504;0.7698476;1
7.1004;0.7720103;1
7.1504;0.7696487;1
7.2004;0.7692799;1
7.2504;0.768878;1
7.3004;0.7689598;1
7.3504;0.7711636;1
7.4004;0.7652091;1
7.4504;0.7753574;1
7.5004;0.7713951;1
7.5504;0.7719198;1
7.6005;0.7664415;1
7.6505;0.7690475;1
7.7005;0.7679973;1
7.7505;0.7683819;1
7.8005;0.7702735;1
7.8505;0.7749149;1
7.9005;0.7732972;1
7.9505;0.7764893;1
8.0005;0.7703422;1
8.050501;0.7693075;1
8.1005;0.7751098;1
8.150499;0.7688957;1
8.2005;0.7682638;1
8.2505;0.7622868;1
8.300501;0.7697238;1
8.3505;0.7716529;1
8.400499;0.7755033;1
8.4505;0.7690458;1
8.5005;0.7690708;1
8.550501;0.7756793;1
8.6005;0.7680027;1
8.650499;0.7703795;1
8.7005;0.7690048;1
8.7505;0.7729143;1
8.800501;0.7703611;1
8.8505;0.7713816;1
8.900499;0.7776291;1
8.9505;0.7680597;1
9.0005;0.76642;1
9.050501;0.7647633;1
9.1005;0.7734684;1
9.150499;0.771799;1
9.2005;0.7704392;1
9.2505;0.7745667;1
9.300501;0.7701606;1
9.3505;0.7656301;1
9.4006;0.7642404;1
9.4506;0.7735682;1
9.500601;0.7681658;1
9.5506;0.7752192;1
9.600599;0.7692129;1
9.6506;0.7671836;1
9.7006;0.7701748;1
9.750601;0.7679886;1
9.8006;0.7688594;1
9.850599;0.7643542;1
9.9006;0.7658677;1
9.9506;0.7654675;1
10.0006;0.7659767;1
10.0006;0.7659767;1
-4.9503;0.9118271;9
-4.9003;0.907178;9
-4.8503;0.9010279;9
-4.8003;0.9076684;9
-4.7503;0.9018183;9
-4.7003;0.9051152;9
-4.6503;0.9121403;9
-4.6003;0.9060832;9
-4.5503;0.9016389;9
-4.5003;0.904487;9
-4.4503;0.9066983;9
-4.4003;0.9035241;9
-4.3503;0.9009374;9
-4.3003;0.9019855;9
-4.2503;0.901179;9
-4.2003;0.9091675;9
-4.1503;0.9075729;9
-4.1003;0.9051518;9
-4.0503;0.8973658;9
-4.0003;0.9109781;9
-3.9503;0.9051188;9
-3.9003;0.9048754;9
-3.8503;0.905357;9
-3.8003;0.9055752;9
-3.7503;0.9125687;9
-3.7002;0.9021134;9
-3.6502;0.9068567;9
-3.6002;0.9076556;9
-3.5502;0.9100003;9
-3.5002;0.9036126;9
-3.4502;0.9070134;9
-3.4002;0.906936;9
-3.3502;0.9012619;9
-3.3002;0.9003973;9
-3.2502;0.9030563;9
-3.2002;0.907708;9
-3.1502;0.9051735;9
-3.1002;0.9071165;9
-3.0502;0.906829;9
-3.0002;0.9051476;9
-2.9502;0.906247;9
-2.9002;0.9079059;9
-2.8502;0.9016194;9
-2.8002;0.9071512;9
-2.7502;0.9080886;9
-2.7002;0.9095167;9
-2.6502;0.9031211;9
-2.6002;0.9064441;9
-2.5502;0.9082664;9
-2.5002;0.9072512;9
-2.4502;0.9026634;9
-2.4002;0.9067069;9
-2.3502;0.9074668;9
-2.3002;0.9029412;9
-2.2502;0.9032509;9
-2.2002;0.9104278;9
-2.1502;0.9035934;9
-2.1002;0.9007411;9
-2.0502;0.9106459;9
-2.0002;0.9070756;9
-1.9502;0.9016861;9
-1.9001;0.9031907;9
-1.8501;0.9020189;9
-1.8001;0.9041368;9
-1.7501;0.8994597;9
-1.7001;0.9082807;9
-1.6501;0.9107925;9
-1.6001;0.9113999;9
-1.5501;0.9077395;9
-1.5001;0.9059207;9
-1.4501;0.9077426;9
-1.4001;0.9025512;9
-1.3501;0.905246;9
-1.3001;0.9025959;9
-1.2501;0.9052809;9
-1.2001;0.9034047;9
-1.1501;0.9062436;9
-1.1001;0.9053462;9
-1.0501;0.9069068;9
-1.0001;0.9037564;9
-0.9500999;0.9003128;9
-0.9000998;0.9041341;9
-0.8501;0.905022;9
-0.8000998;0.9005944;9
-0.7501001;0.9047852;9
-0.7000999;0.9086289;9
-0.6500998;0.904378;9
-0.6001;0.9084345;9
-0.5500998;0.9069917;9
-0.5001001;0.9062506;9
-0.4500999;0.9012331;9
-0.4000998;0.9020654;9
-0.3501;0.9024794;9
-0.3000998;0.9064662;9
-0.2501001;0.899248;9
-0.2000999;0.9053405;9
-0.1500998;0.9052516;9
-0.0999999;0.902837;9
-0.04999971;0.9043668;9
0;0.8987659;9
0.05000019;0.9051014;9
0.0999999;0.9043899;9
0.1500001;0.9042276;9
0.2000003;0.8977624;9
0.25;0.9013893;9
0.3000002;0.9027077;9
0.3499999;0.9020217;9
0.4000001;0.9018013;9
0.4500003;0.8993772;9
0.5;0.9032087;9
0.5500002;0.8969653;9
0.5999999;0.8973423;9
0.6500001;0.8947051;9
0.7000003;0.9055658;9
0.75;0.8980314;9
0.8000002;0.8947373;9
0.8499999;0.8970263;9
0.9000001;0.8952941;9
0.9500003;0.8897474;9
1;0.8942044;9
1.05;0.8945224;9
1.1;0.8922189;9
1.15;0.894599;9
1.2;0.8935584;9
1.25;0.8922295;9
1.3;0.8907194;9
1.35;0.893473;9
1.4;0.8957154;9
1.45;0.8874878;9
1.5;0.8915381;9
1.55;0.8906826;9
1.6;0.8910863;9
1.65;0.8901553;9
1.7001;0.8885623;9
1.7501;0.8843722;9
1.8001;0.8848829;9
1.8501;0.888712;9
1.9001;0.8904706;9
1.9501;0.8900369;9
2.0001;0.8866343;9
2.0501;0.8835322;9
2.1001;0.8922819;9
2.1501;0.8885087;9
2.2001;0.8871223;9
2.2501;0.8860229;9
2.3001;0.8881038;9
2.3501;0.8848194;9
2.4001;0.8912648;9
2.4501;0.8866054;9
2.5001;0.8841416;9
