Time [s];Relative Fluorescence 650nm;Capillary Position
-4.9502;1.00454;1
-4.9002;0.9963809;1
-4.8502;1.003399;1
-4.8002;1.00287;1
-4.7502;1.000404;1
-4.7002;1.002051;1
-4.6502;1.002446;1
-4.6002;1.005967;1
-4.5502;0.9976829;1
-4.5002;0.997974;1
-4.4502;0.9937466;1
-4.4002;0.9958818;1
-4.3502;0.9983491;1
-4.3002;1.000749;1
-4.2502;0.9985824;1
-4.2002;1.001674;1
-4.1502;0.9980223;1
-4.1002;0.9994051;1
-4.0502;0.9937266;1
-4.0002;0.9979749;1
-3.9502;0.9991961;1
-3.9002;0.9995742;1
-3.8502;1.002802;1
-3.8002;0.992618;1
-3.7502;0.9923584;1
-3.7002;1.000403;1
-3.6502;1.001802;1
-3.6002;1.002367;1
-3.5502;0.9960689;1
-3.5002;1.001218;1
-3.4502;0.9950149;1
-3.4001;1.000674;1
-3.3501;0.9985046;1
-3.3001;0.9976724;1
-3.2501;0.9975957;1
-3.2001;0.997314;1
-3.1501;0.9959596;1
-3.1001;0.9989218;1
-3.0501;0.997541;1
-3.0001;0.9990363;1
-2.9501;0.9953785;1
-2.9001;0.9947133;1
-2.8501;1.002146;1
-2.8001;0.9970387;1
-2.7501;0.9963483;1
-2.7001;0.9907056;1
-2.6501;0.9996783;1
-2.6001;0.9955193;1
-2.5501;0.9979403;1
-2.5001;0.9981558;1
-2.4501;0.9981873;1
-2.4001;0.9954752;1
-2.3501;1.000352;1
-2.3001;0.9969369;1
-2.2501;0.9948058;1
-2.2001;0.9988482;1
-2.1501;0.9968159;1
-2.1001;0.9979015;1
-2.0501;0.9919109;1
-2.0001;0.9991256;1
-1.9501;0.9973624;1
-1.9001;0.9986496;1
-1.8501;0.9960836;1
-1.8001;0.9935123;1
-1.7501;0.9956055;1
-1.7001;0.9946051;1
-1.6501;0.9972563;1
-1.6;0.9961782;1
-1.55;0.9973907;1
-1.5;0.9978709;1
-1.45;0.9923176;1
-1.4;0.9984079;1
-1.35;0.9930089;1
-1.3;0.9922745;1
-1.25;1.001446;1
-1.2;0.9930899;1
-1.15;0.9940104;1
-1.1;0.993238;1
-1.05;0.9929617;1
-1;0.9924206;1
-0.9499998;1.000191;1
-0.9000001;0.9909768;1
-0.8499999;0.9952157;1
-0.7999997;0.9964534;1
-0.75;0.996319;1
-0.6999998;0.9958146;1
-0.6500001;0.9958072;1
-0.5999999;0.99905;1
-0.5499997;0.9919582;1
-0.5;0.9927767;1
-0.4499998;0.9934019;1
-0.4000001;1.000207;1
-0.3499999;0.9954363;1
-0.2999997;0.9951673;1
-0.25;0.9961887;1
-0.1999998;0.9931087;1
-0.1500001;0.9979109;1
-0.0999999;0.9932475;1
-0.04999971;0.9989418;1
0;0.9918899;1
0.05000019;0.976666;1
0.0999999;0.9571928;1
0.1500001;0.9466313;1
0.2000999;0.947392;1
0.2501001;0.9375494;1
0.3000998;0.9351945;1
0.3501;0.9332295;1
0.4001002;0.9249504;1
0.4500999;0.9185153;1
0.5001001;0.9158033;1
0.5500998;0.9195063;1
0.6001;0.9153703;1
0.6501002;0.916545;1
0.7000999;0.9065321;1
0.7501001;0.9085485;1
0.8000998;0.9060403;1
0.8501;0.9006897;1
0.9001002;0.9014232;1
0.9500999;0.9017416;1
1.0001;0.8979829;1
1.0501;0.8947853;1
1.1001;0.8958845;1
1.1501;0.8946172;1
1.2001;0.8879374;1
1.2501;0.8889629;1
1.3001;0.8894232;1
1.3501;0.8819059;1
1.4001;0.8832623;1
1.4501;0.8854753;1
1.5001;0.882364;1
1.5501;0.8753636;1
1.6001;0.8797464;1
1.6501;0.8797422;1
1.7001;0.8837174;1
1.7501;0.8770196;1
1.8001;0.875807;1
1.8501;0.873364;1
1.9001;0.8727891;1
1.9501;0.8752428;1
2.0002;0.8703933;1
2.0502;0.8689149;1
2.1002;0.8678946;1
2.1502;0.859111;1
2.2002;0.8672494;1
2.2502;0.8658718;1
2.3002;0.8610771;1
2.3502;0.8631881;1
2.4002;0.8600641;1
2.4502;0.8614469;1
2.5002;0.8596973;1
2.5502;0.8585667;1
2.6002;0.8573037;1
2.6502;0.8556161;1
2.7002;0.8575989;1
2.7502;0.8567699;1
2.8002;0.855489;1
2.8502;0.8456104;1
2.9002;0.848974;1
2.9502;0.8516368;1
3.0002;0.8503873;1
3.0502;0.8531415;1
3.1002;0.8482637;1
3.1502;0.8446122;1
3.200201;0.8492736;1
3.2502;0.8470595;1
3.3002;0.8456651;1
3.3502;0.8442265;1
3.4002;0.8420704;1
3.450201;0.8396788;1
3.5002;0.8468367;1
3.5502;0.8386889;1
3.6002;0.8402231;1
3.6502;0.8442854;1
3.700201;0.8420798;1
3.7502;0.8397345;1
3.8003;0.8342052;1
3.8503;0.8329516;1
3.900301;0.8336273;1
3.9503;0.8344626;1
4.0003;0.8387446;1
4.0503;0.8329337;1
4.1003;0.8317958;1
4.150301;0.8288599;1
4.2003;0.8334213;1
4.2503;0.8284101;1
4.3003;0.8300588;1
4.3503;0.8300472;1
4.400301;0.8295502;1
4.4503;0.8265954;1
4.5003;0.8282987;1
4.5503;0.8298486;1
4.6003;0.8260847;1
4.650301;0.8308522;1
4.7003;0.8280633;1
4.7503;0.8285351;1
4.8003;0.8246399;1
4.8503;0.8250255;1
4.900301;0.8223113;1
4.9503;0.8206584;1
5.0003;0.8199954;1
5.0503;0.8252819;1
5.1003;0.8221211;1
5.150301;0.8206258;1
5.2003;0.8205376;1
5.2503;0.8203884;1
5.3003;0.8233148;1
5.3503;0.8203033;1
5.400301;0.8208224;1
5.4503;0.8221411;1
5.5003;0.8244991;1
5.5503;0.8175428;1
5.6004;0.8203568;1
5.6504;0.8164857;1
5.7004;0.8216882;1
5.7504;0.8138514;1
5.8004;0.8143295;1
5.8504;0.812271;1
5.9004;0.8147183;1
5.9504;0.8127796;1
6.0004;0.8158143;1
6.0504;0.8080584;1
6.1004;0.8073565;1
6.1504;0.8144188;1
6.2004;0.8152133;1
6.2504;0.8139502;1
6.3004;0.8079396;1
6.3504;0.8088738;1
6.4004;0.8085008;1
6.4504;0.8099256;1
6.5004;0.8064118;1
6.5504;0.8096756;1
6.6004;0.8060167;1
6.6504;0.8091859;1
6.7004;0.805258;1
6.7504;0.8044773;1
6.8004;0.8118223;1
6.8504;0.8094444;1
6.9004;0.8061396;1
6.9504;0.8037953;1
7.0004;0.8047926;1
7.0504;0.8003919;1
7.1004;0.8079901;1
7.1504;0.8051131;1
7.2004;0.7996615;1
7.2504;0.801905;1
7.3004;0.7993484;1
7.3505;0.7987663;1
7.4005;0.8000608;1
7.4505;0.807677;1
7.5005;0.8017673;1
7.5505;0.8011673;1
7.6005;0.8051131;1
7.6505;0.8006619;1
7.7005;0.7927652;1
7.7505;0.7939883;1
7.8005;0.8050448;1
7.8505;0.8023253;1
7.9005;0.7993579;1
7.9505;0.797146;1
8.0005;0.7949824;1
8.050501;0.7959575;1
8.1005;0.80207;1
8.150499;0.7983544;1
8.2005;0.7958052;1
8.2505;0.7940871;1
8.300501;0.7924415;1
8.3505;0.7987768;1
8.400499;0.7970125;1
8.4505;0.7942721;1
8.5005;0.7907014;1
8.550501;0.7919792;1
8.6005;0.7951021;1
8.650499;0.7952346;1
8.7005;0.7920717;1
8.7505;0.790693;1
8.800501;0.7927526;1
8.8505;0.7932864;1
8.900499;0.7948699;1
8.9505;0.7968706;1
9.0005;0.7905123;1
9.050501;0.7921442;1
9.1005;0.7918069;1
9.1506;0.7899186;1
9.2006;0.7909978;1
9.250601;0.792285;1
9.3006;0.7904251;1
9.350599;0.792595;1
9.4006;0.7929544;1
9.4506;0.7930899;1
9.500601;0.786926;1
9.5506;0.7905554;1
9.600599;0.784486;1
9.6506;0.7874146;1
9.7006;0.7894878;1
9.750601;0.7907414;1
9.8006;0.7904283;1
9.850599;0.7848254;1
9.9006;0.7897252;1
9.9506;0.7898409;1
10.0006;0.7853456;1
10.0006;0.7853456;1
-4.9503;1.003621;9
-4.9003;1.003446;9
-4.8503;0.9994508;9
-4.8003;1.00398;9
-4.7503;1.003266;9
-4.7003;0.9996832;9
-4.6503;0.9961389;9
-4.6003;0.9980072;9
-4.5503;1.002417;9
-4.5003;1.002175;9
-4.4503;0.9996382;9
-4.4003;0.9960346;9
-4.3503;0.9985529;9
-4.3003;1.00012;9
-4.2503;0.9981154;9
-4.2003;0.9987819;9
-4.1503;0.9998299;9
-4.1003;0.9966731;9
-4.0503;1.00011;9
-4.0002;0.9992229;9
-3.9502;0.9967495;9
-3.9002;0.9994711;9
-3.8502;0.9972638;9
-3.8002;1.000827;9
-3.7502;0.9987172;9
-3.7002;0.9984143;9
-3.6502;0.9945673;9
-3.6002;0.9943027;9
-3.5502;0.9970905;9
-3.5002;1.000933;9
-3.4502;0.9988326;9
-3.4002;0.992246;9
-3.3502;0.9958724;9
-3.3002;0.9975112;9
-3.2502;0.998098;9
-3.2002;0.9940538;9
-3.1502;0.9941249;9
-3.1002;0.9954439;9
-3.0502;0.9961317;9
-3.0002;0.9953609;9
-2.9502;0.9922199;9
-2.9002;0.9916901;9
-2.8502;0.994136;9
-2.8002;0.9956599;9
-2.7502;0.9946644;9
-2.7002;0.9983748;9
-2.6502;0.9935661;9
-2.6002;0.9959516;9
-2.5502;0.9960772;9
-2.5002;0.996108;9
-2.4502;0.9938313;9
-2.4002;0.9952391;9
-2.3502;0.9968297;9
-2.3002;0.9940553;9
-2.2502;0.9923412;9
-2.2001;0.9975382;9
-2.1501;0.9958057;9
-2.1001;0.9943491;9
-2.0501;0.9951793;9
-2.0001;0.9960505;9
-1.9501;0.9915119;9
-1.9001;0.9939244;9
-1.8501;0.9893071;9
-1.8001;0.9951242;9
-1.7501;0.9959998;9
-1.7001;0.994291;9
-1.6501;0.9986819;9
-1.6001;0.997602;9
-1.5501;0.9952334;9
-1.5001;0.9911541;9
-1.4501;0.9933454;9
-1.4001;0.9953913;9
-1.3501;0.9909946;9
-1.3001;0.99401;9
-1.2501;0.9944152;9
-1.2001;0.9967631;9
-1.1501;0.9964114;9
-1.1001;0.9941741;9
-1.0501;0.9958975;9
-1.0001;0.9962761;9
-0.9500999;0.9955387;9
-0.9000998;0.9905155;9
-0.8501;0.9954763;9
-0.8000998;0.9942412;9
-0.7501001;0.9900315;9
-0.7000999;0.9905305;9
-0.6500998;0.9938439;9
