Time [s];Relative Fluorescence 650nm;Capillary Position
-4.9503;1.003956;1
-4.9003;1.002961;1
-4.8503;0.9998502;1
-4.8003;1.000767;1
-4.7503;0.9968248;1
-4.7003;0.9929948;1
-4.6503;0.9968872;1
-4.6003;0.9966497;1
-4.5503;1.003868;1
-4.5002;0.9956903;1
-4.4502;0.9985566;1
-4.4002;1.006076;1
-4.3502;1.000352;1
-4.3002;0.9988855;1
-4.2502;0.9966401;1
-4.2002;0.9968184;1
-4.1502;1.000639;1
-4.1002;0.9973029;1
-4.0502;0.9978411;1
-4.0002;0.9981473;1
-3.9502;1.001433;1
-3.9002;0.9913758;1
-3.8502;0.9952058;1
-3.8002;0.9949835;1
-3.7502;0.9938102;1
-3.7002;0.9982505;1
-3.6502;1.00667;1
-3.6002;0.9985739;1
-3.5502;1.001955;1
-3.5002;0.9985728;1
-3.4502;0.9996654;1
-3.4002;1.00027;1
-3.3502;0.9992442;1
-3.3002;0.9926392;1
-3.2502;0.9997395;1
-3.2002;0.9942217;1
-3.1502;0.9981678;1
-3.1002;0.9984213;1
-3.0502;0.993459;1
-3.0002;0.9988542;1
-2.9502;0.997347;1
-2.9002;0.9948331;1
-2.8502;0.9984309;1
-2.8002;1.002051;1
-2.7502;0.9953358;1
-2.7001;0.99502;1
-2.6501;0.994486;1
-2.6001;0.9954798;1
-2.5501;0.9972643;1
-2.5001;0.9967808;1
-2.4501;0.9919678;1
-2.4001;0.9941551;1
-2.3501;0.9989682;1
-2.3001;0.9961544;1
-2.2501;0.9893163;1
-2.2001;0.9934879;1
-2.1501;0.9937523;1
-2.1001;0.9989553;1
-2.0501;0.9884171;1
-2.0001;0.9897299;1
-1.9501;0.9957033;1
-1.9001;0.9965864;1
-1.8501;0.9959117;1
-1.8001;0.9950725;1
-1.7501;0.9959331;1
-1.7001;0.9930367;1
-1.6501;0.996076;1
-1.6001;0.996755;1
-1.5501;0.9947267;1
-1.5001;0.9983579;1
-1.4501;0.9950114;1
-1.4001;0.9921557;1
-1.3501;0.9957258;1
-1.3001;0.9972031;1
-1.2501;0.9910997;1
-1.2001;0.9900748;1
-1.1501;0.9957806;1
-1.1001;0.9993055;1
-1.0501;0.9878498;1
-1.0001;0.996885;1
-0.9500999;0.9860052;1
-0.9000001;0.9956409;1
-0.8499999;0.9903724;1
-0.7999997;0.9939918;1
-0.75;0.9893948;1
-0.6999998;0.9947869;1
-0.6500001;0.9936534;1
-0.5999999;0.9917153;1
-0.5499997;0.9897019;1
-0.5;0.9910277;1
-0.4499998;0.995729;1
-0.4000001;0.9924759;1
