Time [s];Ratio 670nm / 650nm;Capillary Position
-4.9503;0.7732855;1
-4.9003;0.7751119;1
-4.8503;0.7768448;1
-4.8003;0.7781848;1
-4.7503;0.7805431;1
-4.7003;0.7805493;1
-4.6503;0.7796171;1
-4.6003;0.7790354;1
-4.5503;0.7736027;1
-4.5002;0.7809858;1
-4.4502;0.7783578;1
-4.4002;0.7726921;1
-4.3502;0.7760288;1
-4.3002;0.7777606;1
-4.2502;0.7796606;1
-4.2002;0.7801752;1
-4.1502;0.7744687;1
-4.1002;0.7778186;1
-4.0502;0.7806289;1
-4.0002;0.7771896;1
-3.9502;0.77678;1
-3.9002;0.7831137;1
-3.8502;0.7808921;1
-3.8002;0.7804772;1
-3.7502;0.7818558;1
-3.7002;0.7746363;1
-3.6502;0.767898;1
-3.6002;0.7776698;1
-3.5502;0.7726119;1
-3.5002;0.7766551;1
-3.4502;0.7736548;1
-3.4002;0.7775088;1
-3.3502;0.774698;1
-3.3002;0.7822955;1
-3.2502;0.7735286;1
-3.2002;0.7802971;1
-3.1502;0.7756346;1
-3.1002;0.7750245;1
-3.0502;0.7806237;1
-3.0002;0.7751467;1
-2.9502;0.776763;1
-2.9002;0.7820627;1
-2.8502;0.7763233;1
-2.8002;0.7743159;1
-2.7502;0.7785041;1
-2.7001;0.7795524;1
-2.6501;0.7788183;1
-2.6001;0.7793876;1
-2.5501;0.7759527;1
-2.5001;0.7761922;1
-2.4501;0.7808193;1
-2.4001;0.7799842;1
-2.3501;0.7769499;1
-2.3001;0.7785331;1
-2.2501;0.7808053;1
-2.2001;0.7811222;1
-2.1501;0.7783815;1
-2.1001;0.7763061;1
-2.0501;0.7842144;1
-2.0001;0.7819738;1
-1.9501;0.7795342;1
-1.9001;0.7769333;1
-1.8501;0.774243;1
-1.8001;0.7767884;1
-1.7501;0.7753805;1
-1.7001;0.7776377;1
-1.6501;0.7791778;1
-1.6001;0.7754924;1
-1.5501;0.7755498;1
-1.5001;0.7739417;1
-1.4501;0.7736479;1
-1.4001;0.7810103;1
-1.3501;0.7770255;1
-1.3001;0.7748714;1
-1.2501;0.7822977;1
-1.2001;0.7822254;1
-1.1501;0.7757193;1
-1.1001;0.7716458;1
