Time [s];Relative Fluorescence 650nm;Capillary Position
-4.9502;0.999523;1
-4.9002;0.9975099;1
-4.8502;1.003542;1
-4.8002;0.9967328;1
-4.7502;1.00119;1
-4.7002;0.9977544;1
-4.6502;1.002106;1
-4.6002;0.9986066;1
-4.5502;1.003615;1
-4.5002;1.001035;1
-4.4502;0.9953907;1
-4.4002;0.998095;1
-4.3502;0.9979589;1
-4.3002;0.9972227;1
-4.2502;0.9958331;1
-4.2002;1.000024;1
-4.1502;1.000016;1
-4.1002;0.9970792;1
-4.0502;0.9997659;1
-4.0002;1.004063;1
-3.9502;1.0015;1
-3.9002;0.9947965;1
-3.8502;1.00071;1
-3.8002;0.9959841;1
-3.7502;0.9945276;1
-3.7002;0.9980716;1
-3.6502;1.006069;1
-3.6002;1.00053;1
-3.5502;1.001171;1
-3.5002;0.9994178;1
-3.4502;0.9941179;1
-3.4002;1.000084;1
-3.3501;0.9945677;1
-3.3001;1.001715;1
-3.2501;0.9982795;1
-3.2001;0.9959908;1
-3.1501;0.9975349;1
-3.1001;0.9992643;1
-3.0501;0.9949692;1
-3.0001;0.9920145;1
-2.9501;0.994082;1
-2.9001;0.9971952;1
-2.8501;0.9989054;1
-2.8001;0.9983938;1
-2.7501;0.9951411;1
-2.7001;1.000286;1
-2.6501;0.9929017;1
-2.6001;0.9951921;1
-2.5501;0.9961903;1
-2.5001;0.9936554;1
-2.4501;0.9998494;1
-2.4001;0.9962061;1
-2.3501;1.001243;1
-2.3001;0.9903385;1
-2.2501;1.000248;1
-2.2001;0.995293;1
-2.1501;0.9977845;1
-2.1001;0.9960885;1
-2.0501;0.9959007;1
-2.0001;0.998064;1
-1.9501;0.994006;1
-1.9001;0.9929051;1
-1.8501;0.9903761;1
-1.8001;0.9953056;1
-1.7501;0.9918952;1
-1.7001;0.9938641;1
-1.6501;0.9961327;1
-1.6001;0.9958063;1
-1.55;0.9968905;1
-1.5;0.9937297;1
-1.45;0.9975775;1
-1.4;0.9921647;1
-1.35;0.9935235;1
-1.3;0.9943065;1
-1.25;0.9913601;1
-1.2;0.9977528;1
-1.15;0.9983537;1
-1.1;0.9921798;1
-1.05;0.9944224;1
-1;0.9926104;1
-0.9499998;0.9960667;1
-0.9000001;0.9976877;1
-0.8499999;0.9934936;1
-0.7999997;0.9923325;1
-0.75;0.9943232;1
-0.6999998;0.9906306;1
-0.6500001;0.9986367;1
-0.5999999;0.992441;1
-0.5499997;0.9929034;1
-0.5;0.9924895;1
-0.4499998;0.9973146;1
-0.4000001;0.9950284;1
-0.3499999;0.9927239;1
-0.2999997;0.9974632;1
-0.25;0.9920186;1
-0.1999998;0.9921222;1
-0.1500001;0.9924952;1
-0.0999999;0.9932998;1
-0.04999971;0.9953665;1
0;0.9912099;1
0.05000019;0.9800097;1
0.0999999;0.9568238;1
0.1500001;0.9495441;1
0.2000999;0.9389932;1
0.2501001;0.9373707;1
0.3000998;0.9321423;1
0.3501;0.9261979;1
0.4001002;0.9196041;1
0.4500999;0.9176328;1
0.5001001;0.9206157;1
0.5500998;0.914274;1
0.6001;0.919691;1
0.6501002;0.9110131;1
0.7000999;0.9065894;1
0.7501001;0.9102669;1
0.8000998;0.9006542;1
0.8501;0.9015189;1
0.9001002;0.9028727;1
0.9500999;0.8980151;1
1.0001;0.9011341;1
1.0501;0.8948534;1
1.1001;0.8919563;1
1.1501;0.8928344;1
1.2001;0.8880752;1
1.2501;0.8896059;1
1.3001;0.8867222;1
1.3501;0.8855403;1
1.4001;0.8871696;1
1.4501;0.8797445;1
1.5001;0.8836106;1
1.5501;0.8840963;1
1.6001;0.8732709;1
1.6501;0.8793046;1
1.7001;0.878404;1
1.7501;0.8745287;1
1.8001;0.8750354;1
1.8501;0.8771988;1
1.9001;0.8688105;1
1.9501;0.8724896;1
2.0002;0.8654009;1
2.0502;0.8683448;1
2.1002;0.8678056;1
2.1502;0.8634295;1
2.2002;0.8683197;1
2.2502;0.861872;1
2.3002;0.8619079;1
2.3502;0.8586228;1
2.4002;0.8594432;1
